crew_id,BIQ,NCE
VNFFDJJQ,1,1
IAJXBGLU,1,1
CGQTCOKN,1,1
MDIFLLXJ,1,1
TLQTZCXS,1,1
RNXBZZAY,1,1
KGZAJWUQ,1,1
UUZHPWTF,1,1
KDWGUBMV,1,1
UMSSLQIQ,1,1
VQMXSLUE,1,1
LRLZAMKH,1,1
IVCPLWEG,1,1
FJSQORXP,1,1
WCSVZAZH,1,1
EONUWGEV,1,1
JLQGCGLL,1,1
NMGQUKVC,1,1
PNVGEINY,1,1
DJTHAUYU,1,1
ZFDKSOMW,1,1
QXZXOWXH,1,1
ZRUXPFUL,1,1
SLPZVKIK,1,1
VEINJTBG,1,1
WQUJIWIH,1,1
UKVYLUJF,1,1
CRXTSYBI,1,1
WTRJNHMH,1,1
MHDONEFQ,1,1
XEXGBSUZ,1,1
NPAOWWTW,1,1
UUARONHB,1,1
PNZOKHUG,1,1
QZRUMGHI,1,1
CEKSJBNV,1,1
FXEMZKJI,1,1
BTJRLJPK,1,1
GQXPQPRL,1,1
SOEEXFPX,1,1
UFNMPMJW,1,1
ACTALOJS,1,1
MTMIHYPB,1,1
RDMHFCHX,1,1
IUKOCANG,1,1
XTQCRGPK,1,1
XONXGLUY,1,1
GKMXMIUO,1,1
DGJVSFVX,1,1
XEHMTHJC,1,1
WPBCUZTK,1,1
DORSABNT,1,1
IUGDFWKZ,1,1
MORZADZP,1,1
MGYOLFRZ,1,1
KENGCOIE,1,1
EFCVAPVN,1,1
PSCXZOUW,1,1
SBGNOERF,1,1
OBCXYKYH,1,1
NKOSWJPO,1,1
FKELGWMT,1,1
WLUYTEWG,1,1
VWHXSQHQ,1,1
ERPTLFPO,1,1
BLLRJPOG,1,1
HGAONJRI,1,1
HONYKDEB,1,1
YTDSEIXS,1,1
MNKQTPYU,1,1
YUPZQHTN,1,1
DRWJNMBI,1,1
VGPSFYFB,1,1
MOXJSVML,1,1
YQEWZFGU,1,1
VSTJENNA,1,1
YEXMAXHM,1,1
LHWOOITN,1,1
LGHZRKEP,1,1
BCFBALVE,1,1
NSZQWLXY,1,1
YBXCXJHH,1,1
JLVAAEMG,1,1
KCRXYWHU,1,1
WQTAUALO,1,1
CUBBJIDD,1,1
VNTNHMIC,1,1
BGLPVLDE,1,1
KUUNKCGM,1,1
NNIHLJSS,1,1
WTSKLKOS,1,1
EUYCNECL,1,1
QORZERBZ,1,1
LUDYFQJH,1,1
IBJSCLQQ,1,1
QAKCOOWX,1,1
ZJPDZCFH,1,1
LVTAYFGU,1,1
TFLINWNW,1,1
EINHITGZ,1,1
FETJLKEP,1,1
WMNRZPBQ,1,1
DWZLUKWQ,1,1
QQCOSIQS,1,1
NSSBZYTP,1,1
CGXGUOWC,1,1
WWIUUOOR,1,1
TPGEVNBH,1,1
TODTFUMB,1,1
EJZPFCMI,1,1
WOFAJFAP,1,1
ZILAFHHY,1,1
OMWJMJAA,1,1
HHZOKVWY,1,1
TUZDUSHE,1,1
RTKEDNJL,1,1
QRKHOSYF,1,1
XHHAITGR,1,1
LQXUURFX,1,1
ZMALDYEQ,1,1
NWYFVGTM,1,1
NRLIHHOR,1,1
BOWZKJPY,1,1
XDVAYTYE,1,1
LUZKMQMJ,1,1
ZXLZTNMQ,1,1
UCRWFHQR,1,1
IHZGFXZH,1,1
JZTOFCKE,1,1
PMTUITOR,1,1
DRKKNMKO,1,1
XEDMZUNH,1,1
PXIFBJRE,1,1
AVNJBUKQ,1,1
VNOQHSZH,1,1
DMLGIRJT,1,1
PDCAGYRH,1,1
CABZFZGR,1,1
NOFBZCJJ,1,1
KYLWLWUU,1,1
PFZGOSHZ,1,1
XCJLUCDZ,1,1
DPZLCPOY,1,1
YCUUZJLU,1,1
GQCBXJBS,1,1
AEWHLXDC,1,1
PCRIYYEX,1,1
TBVXERCS,1,1
FHUBTKHG,1,1
RXQPTHDZ,1,1
EORSEHOO,1,1
VEUUJZHA,1,1
PXUUXFBZ,1,1
XUIJOLMO,1,1
CULFPQUF,1,1
KAKQUMXX,1,1
BLNRVVRW,1,1
WTKLNQQR,1,1
MCNGEDUV,1,1
LEBYBBKM,1,1
WVHYRQXV,1,1
FFDIZDOO,1,1
PZYJCBWP,1,1
ETPAXMEX,1,1
LGOFWHGP,1,1
WOATUXOA,1,1
EJKRWHGR,1,1
WYNPVRUV,1,1
VGZUOSZG,1,1
CAYSVEPQ,1,1
GFVYBKMV,1,1
STKDPYHB,1,1
CWYZJSFY,1,1
LJNFJYTQ,1,1
PGSDJNHR,1,1
MFDHAQOJ,1,1
TMMNHKGA,1,1
CIHQQPNF,1,1
WTMSTWAX,1,1
HZEUYPNB,1,1
UKWWYHCE,1,1
HPHNFDLJ,1,1
STSQTUAY,1,1
HQQGMKPM,1,1
ZGBGQBES,1,1
XVYBOXQK,1,1
NAXNRZKJ,1,1
LZYGAAGA,1,1
ILEGXKOG,1,1
QRCDBUPH,1,1
UUMEWRGH,1,1
YPEFCIRI,1,1
YCYBKBIG,1,1
ZRFMQMSM,1,1
NJAWLXAH,1,1
SWJKDQLL,1,1
KQZHBGBD,1,1
KHWIZXST,1,1
ZHAOAROV,1,1
FOLCYAOO,1,1
QTQIBIQJ,1,1
PVRLYROL,1,1
JSTUKYSF,1,1
KVJVJOYX,1,1
HLQLVMZG,1,1
LKKBEKZV,1,1
CDSUAJKS,1,1
CCIWOYRT,1,1
XCKJHZIU,1,1
HBMGHELE,1,1
ZZTSYVKE,1,1
JHCYCEDN,1,1
QKRMQIWR,1,1
KAVCTXYF,1,1
EPRTTKAV,1,1
KBXUJTJM,1,1
YFWBJHHT,1,1
JGKUTWBX,1,1
BYIGYCPY,1,1
UBRIEXAC,1,1
TVHDCAOF,1,1
LWPVUCNW,1,1
RZQWHHPA,1,1
LTBVFLGL,1,1
KKWZYQEF,1,1
KTSXQNXO,1,1
AXSATLPL,1,1
ZRFHSYYD,1,1
WJMCAIZL,1,1
GXFCURDZ,1,1
CSMIJSPX,1,1
SLJWVYIT,1,1
BCTNOVOR,1,1
VRQYOOGC,1,1
UNNNCANK,1,1
DKGTSAZN,1,1
TUEWWVFQ,1,1
CFCYPVEP,1,1
YWFOSZII,1,1
SZSUDWCT,1,1
VXJHCUKV,1,1
CUOUIYZH,1,1
KSKKJZVQ,1,1
ADHFVXQX,1,1
OJQDCCJN,1,1
TMFUHKZW,1,1
KMDPLNSP,1,1
LTLJABIH,1,1
EFDBYQZB,1,1
LJHPKVSH,1,1
AZIJEAFN,1,1
TKEBPTOU,1,1
OMOVDPYI,1,1
VODQGAKY,1,1
BVHYCJPV,1,1
JJJDXDVI,1,1
FVLNUCYD,1,1
CVYJDCFY,1,1
BZHUDLPW,1,1
UTGKAYRF,1,1
XFFNIHQB,1,1
RONEZEUU,1,1
RIQLNVNP,1,1
HRTUFPBQ,1,1
DUTCBWSF,1,1
MDFMFXSI,1,1
OAIRHHMH,1,1
YHTRFHFB,1,1
BKXUHZJZ,1,1
LASSTMEJ,1,1
OIEQBQIW,1,1
DBDNWOWA,1,1
KTRLOVME,1,1
EJIKHCCW,1,1
KQDAQATT,1,1
FGZPGJQR,1,1
TBFYKMCY,1,1
KSVJPAOU,1,1
GRAFYYYC,1,1
PXJWOQEV,1,1
EOGAOJFF,1,1
FYEBBUWX,1,1
QWXFTWZX,1,1
SXGVRQOV,1,1
NFMYZZBL,1,1
ECICEBJE,1,1
LGGDLYET,1,1
ALBWESFL,1,1
BNZUDBLQ,1,1
WBJSBNLO,1,1
SCYOSOMA,1,1
ICRRCJPJ,1,1
RJGVOWWY,1,1
KVBGHSGO,1,1
GHLUVGRV,1,1
CNOXXRMY,1,1
KMRMWGWQ,1,1
MXZXSKGG,1,1
HKCXYJPQ,1,1
TQBREKGN,1,1
PQAVASRK,1,1
KLTOUGDS,1,1
YORWSOKC,1,1
ZLXNWGHI,1,1
OKJXYKWE,1,1
PBINYGTI,1,1
YMQCHKOJ,1,1
GPMRMLSW,1,1
BYQVOKQZ,1,1
BZQEUOGW,1,1
AXSWVVEK,1,1
UQNZQYYW,1,1
XXTBGQHW,1,1
ZJVWZMPV,1,1
KALTPFOC,1,1
CBJEPWTG,1,1
TAYBJMFN,1,1
WVYRKRUY,1,1
KWGOMFDP,1,1
HHGDZUKR,1,1
PNSSBKEH,1,1
WLYWPVOK,1,1
ONLAJCKH,1,1
SIKXYSCF,1,1
KHBOPJFU,1,1
YZHNYAQK,1,1
FCBZUPYB,1,1
TFWTXPJI,1,1
QUJOYEGD,1,1
JVQZCDTB,1,1
KDYCDKEW,1,1
AXXZZBIH,1,1
HHMZSBRW,1,1
