pairing_id;1st_flight_start;last_flight_finish;duration;nr_flights;family;legs;first_leg_aircraft;last_leg_aircraft;airport_start;airport_finish
2022406920;07.01.2006 05:00:00;07.01.2006 19:50:00;890;8;ERJ;2597,2598,2599,2600,2601,2602,2603,2604;ERJ135#2;ERJ135#2;LEH;LEH
2138821259;07.01.2006 05:05:00;07.01.2006 10:20:00;315;2;CRJ;5123,5124;CRJ700#1;CRJ700#1;TLS;TLS
2125508764;07.01.2006 05:25:00;07.01.2006 10:45:00;320;2;Airbus;4600,4599;A319#1;A319#1;BES;BES
1501688522;07.01.2006 05:25:00;07.01.2006 14:05:00;520;4;ERJ;2653,2654,2657,2658;ERJ135#1;ERJ135#1;BES;BES
48190158;07.01.2006 05:25:00;07.01.2006 08:55:00;210;2;ERJ;2587,2588;ERJ145#4;ERJ145#4;CFR;CFR
2138614433;07.01.2006 05:25:00;07.01.2006 09:00:00;215;2;Fokker;4636,4639;F100#5;F100#5;PUF;PUF
1816610767;07.01.2006 05:25:00;07.01.2006 19:55:00;870;4;Fokker;2583,4543,4546,2586;F100#6;F100#6;RNS;RNS
1709706839;07.01.2006 05:30:00;07.01.2006 09:15:00;225;2;Airbus;4194,4195;A320#15;A320#15;MLH;MLH
830807798;07.01.2006 05:30:00;07.01.2006 08:50:00;200;2;Airbus;2866,2873;A320#23;A320#23;MRS;MRS
791771284;07.01.2006 05:30:00;07.01.2006 13:45:00;495;4;BAE;2573,2574,2581,2582;BAE300#1;BAE300#1;LIG;LIG
2113437503;07.01.2006 05:30:00;07.01.2006 09:05:00;215;2;CRJ;2613,2614;CRJ700#2;CRJ700#2;RNS;RNS
1162073078;07.01.2006 05:30:00;07.01.2006 13:35:00;485;4;ERJ;4334,4333,4336,4337;ERJ145#1;ERJ145#1;AVN;AVN
1379662799;07.01.2006 05:35:00;07.01.2006 20:55:00;920;6;Airbus;2593,4504,4507,4508,4511,4512;A318#6;A318#6;LIG;LIG
1104652174;07.01.2006 05:35:00;07.01.2006 08:30:00;175;2;Airbus;4684,4685;A319#16;A319#16;MRS;MRS
932725007;07.01.2006 05:35:00;07.01.2006 09:20:00;225;2;Airbus;4224,4225;A320#1;A320#1;BES;BES
1485403625;07.01.2006 05:35:00;07.01.2006 09:10:00;215;2;Airbus;4584,4583;A320#6;A320#6;NTE;NTE
346378500;07.01.2006 05:35:00;07.01.2006 08:15:00;160;2;ERJ;4522,4517;ERJ145#3;ERJ145#3;CFE;CFE
534011718;07.01.2006 05:40:00;07.01.2006 09:05:00;205;2;Airbus;4296,4295;A318#1;A318#1;CFE;CFE
1406361028;07.01.2006 05:40:00;07.01.2006 09:15:00;215;2;Airbus;4314,4315;A319#2;A319#2;PUF;PUF
1321446349;07.01.2006 05:40:00;07.01.2006 09:00:00;200;2;Airbus;4404,4405;A319#3;A319#3;MPL;MPL
333461483;07.01.2006 05:40:00;07.01.2006 09:00:00;200;2;Airbus;2966,2973;A320#7;A320#7;TLS;TLS
1008338748;07.01.2006 05:40:00;07.01.2006 13:25:00;465;4;Airbus;4576,4551,4552,4577;A320#22;A320#22;NCE;NCE
262918833;07.01.2006 05:40:00;07.01.2006 08:30:00;170;2;BAE;2543,2544;BAE200#1;BAE200#1;RDZ;RDZ
160225133;07.01.2006 05:40:00;07.01.2006 08:50:00;190;2;ERJ;4694,4693;ERJ145#5;ERJ145#5;NCE;NCE
345545550;07.01.2006 05:45:00;07.01.2006 09:15:00;210;2;Airbus;4364,4363;A319#6;A319#6;TLN;TLN
2130037697;07.01.2006 05:45:00;07.01.2006 08:55:00;190;2;Airbus;4673,4676;A319#13;A319#13;LIL;LIL
263157300;07.01.2006 05:45:00;07.01.2006 09:10:00;205;2;Airbus;4723,4726;A320#20;A320#20;NTE;NTE
1196878155;07.01.2006 05:45:00;07.01.2006 14:00:00;495;4;BAE;2524,2523,2526,2798;BAE300#2;BAE300#2;UIP;UIP
1835196615;07.01.2006 05:45:00;07.01.2006 15:25:00;580;4;CRJ;4764,4765,3076,3063;CRJ700#3;CRJ700#3;NCE;NCE
182621155;07.01.2006 05:50:00;07.01.2006 09:00:00;190;2;Airbus;2965,2974;A320#8;A320#8;ORY;ORY
1796576214;07.01.2006 05:50:00;07.01.2006 08:50:00;180;2;Airbus;4704,4703;A321#1;A321#1;TLS;TLS
1661516681;07.01.2006 05:50:00;07.01.2006 08:45:00;175;2;Airbus;4264,4265;A321#2;A321#2;LYS;LYS
359906493;07.01.2006 05:50:00;07.01.2006 09:10:00;200;2;CRJ;4344,4343;CRJ100#1;CRJ100#1;BIQ;BIQ
295069519;07.01.2006 05:50:00;07.01.2006 10:45:00;295;2;CRJ;5163,5164;CRJ100#4;CRJ100#4;BOD;BOD
178283218;07.01.2006 05:50:00;07.01.2006 08:40:00;170;2;Fokker;2648,2647;F100#2;F100#2;SXB;SXB
134224868;07.01.2006 05:55:00;07.01.2006 21:15:00;920;2;Airbus;4544,4547;A319#15;A319#15;MPL;MPL
1454666067;07.01.2006 05:55:00;07.01.2006 10:05:00;250;2;Airbus;1364,1363;A320#2;A320#2;AJA;AJA
525100016;07.01.2006 05:55:00;07.01.2006 10:05:00;250;2;Airbus;1374,1379;A320#3;A320#3;BIA;BIA
657187435;07.01.2006 05:55:00;07.01.2006 09:25:00;210;2;BAE;2673,2674;BAE300#3;BAE300#3;SXB;SXB
532638534;07.01.2006 06:00:00;07.01.2006 09:30:00;210;2;Airbus;3103,3068;A318#8;A318#8;ORY;ORY
796471501;07.01.2006 06:00:00;07.01.2006 09:00:00;180;2;BAE;2793,2794;BAE200#3;BAE200#3;LRT;LRT
435943218;07.01.2006 06:00:00;07.01.2006 15:55:00;595;6;Fokker;2534,2634,2633,2533,2655,2656;F100#1;F100#1;BES;BES
929393559;07.01.2006 06:05:00;07.01.2006 09:20:00;195;2;Airbus;3064,3069;A318#4;A318#4;NCE;NCE
1903678842;07.01.2006 06:05:00;07.01.2006 10:55:00;290;2;Airbus;4656,4645;A319#10;A319#10;TLS;TLS
1130118952;07.01.2006 06:05:00;07.01.2006 09:15:00;190;2;Airbus;152,145;A320#4;A320#4;MLH;MLH
2035035283;07.01.2006 06:10:00;07.01.2006 19:45:00;815;6;Airbus;2968,4269,4270,4271,4276,2967;A320#19;A320#19;TLS;TLS
56569042;07.01.2006 06:10:00;07.01.2006 09:15:00;185;2;Airbus;3118,3119;A321#3;A321#3;BOD;BOD
61497087;07.01.2006 06:15:00;07.01.2006 21:50:00;935;6;Airbus;4498,4515,4506,4519,4520,4499;A318#7;A318#7;BIQ;BIQ
1507096884;07.01.2006 06:15:00;07.01.2006 20:00:00;825;6;Airbus;4643,2972,4431,4432,4437,4434;A319#4;A319#4;CDG;CDG
585887566;07.01.2006 06:15:00;07.01.2006 10:35:00;260;2;Airbus;4523,4524;A319#17;A319#17;CDG;CDG
485266100;07.01.2006 06:20:00;07.01.2006 10:40:00;260;2;Airbus;4563,4564;A321#4;A321#4;CDG;CDG
2039633683;07.01.2006 06:25:00;07.01.2006 10:05:00;220;2;Airbus;4375,4376;A319#5;A319#5;ORY;ORY
1484135457;07.01.2006 06:25:00;07.01.2006 09:40:00;195;2;Airbus;4514,4503;A319#18;A319#18;LYS;LYS
16322739;07.01.2006 06:25:00;07.01.2006 11:10:00;285;2;Airbus;4574,4565;A320#24;A320#24;NCE;NCE
659767626;07.01.2006 06:30:00;07.01.2006 10:45:00;255;2;Airbus;4483,4488;A319#9;A319#9;CDG;CDG
1539174560;07.01.2006 06:30:00;07.01.2006 10:00:00;210;2;Airbus;3107,3108;A319#11;A319#11;ORY;ORY
185012673;07.01.2006 06:30:00;07.01.2006 09:50:00;200;2;Airbus;2872,2879;A320#12;A320#12;MRS;MRS
1477521204;07.01.2006 06:30:00;07.01.2006 14:15:00;465;4;ERJ;4360,4359,4350,4349;ERJ145#2;ERJ145#2;LDE;LDE
744291659;07.01.2006 06:35:00;07.01.2006 21:40:00;905;7;Airbus;4623,4626,4625,4634,4629,4630,4647;A320#5;A320#5;ORY;ORY
689146701;07.01.2006 06:35:00;07.01.2006 10:55:00;260;2;Airbus;4536,4525;A320#21;A320#21;MRS;MRS
100621466;07.01.2006 06:40:00;07.01.2006 10:00:00;200;2;Airbus;2970,2975;A320#10;A320#10;TLS;TLS
1617046705;07.01.2006 06:40:00;07.01.2006 09:20:00;160;2;CRJ;2605,2606;CRJ100#3;CRJ100#3;RNS;RNS
1048083132;07.01.2006 06:50:00;07.01.2006 10:00:00;190;2;Airbus;2969,2976;A320#9;A320#9;ORY;ORY
1002897798;07.01.2006 07:00:00;07.01.2006 09:40:00;160;2;Airbus;4618,4617;A318#2;A318#2;ETZ;ETZ
2026928803;07.01.2006 07:00:00;07.01.2006 10:30:00;210;2;Airbus;3065,3070;A318#5;A318#5;ORY;ORY
1704637349;07.01.2006 07:00:00;07.01.2006 20:25:00;805;6;Airbus;4164,2883,2892,2895,2908,4189;A319#8;A319#8;SXB;SXB
272026514;07.01.2006 07:00:00;07.01.2006 15:45:00;525;4;BAE;2610,2661,2662,2609;BAE200#2;BAE200#2;RNS;RNS
1412011072;07.01.2006 07:05:00;07.01.2006 14:20:00;435;4;Airbus;2624,2623,2630,2629;A318#3;A318#3;NTE;NTE
1844137836;07.01.2006 07:15:00;07.01.2006 16:05:00;530;4;Airbus;3117,3144,2869,2878;A319#14;A319#14;ORY;ORY
1713579631;07.01.2006 07:25:00;07.01.2006 11:00:00;215;2;Airbus;4385,4386;A319#7;A319#7;ORY;ORY
216794175;07.01.2006 07:25:00;07.01.2006 11:15:00;230;2;Airbus;4486,4485;A320#16;A320#16;BOD;BOD
1017541010;07.01.2006 07:25:00;07.01.2006 17:10:00;585;6;Fokker;2520,2519,2518,2517,2626,2625;F100#3;F100#3;NTE;NTE
921209318;07.01.2006 07:30:00;07.01.2006 10:50:00;200;2;Airbus;2868,2877;A320#17;A320#17;MRS;MRS
943091072;07.01.2006 07:30:00;07.01.2006 11:25:00;235;2;CRJ;4400,4393;CRJ100#2;CRJ100#2;FSC;FSC
1772116450;07.01.2006 07:30:00;07.01.2006 15:45:00;495;4;Fokker;3067,4784,4679,4678;F100#4;F100#4;ORY;ORY
29236707;07.01.2006 08:00:00;07.01.2006 18:00:00;600;4;Airbus;4165,4170,4171,4180;A319#12;A319#12;ORY;ORY
863898425;07.01.2006 08:00:00;07.01.2006 11:15:00;195;2;Airbus;3122,3121;A320#18;A320#18;BOD;BOD
1022862599;07.01.2006 08:05:00;07.01.2006 11:30:00;205;2;Airbus;4406,4409;A321#5;A321#5;MPL;MPL
461272858;07.01.2006 08:10:00;07.01.2006 21:05:00;775;6;Airbus;2978,4345,4348,4351,4354,4342;A320#11;A320#11;TLS;TLS
1178395817;07.01.2006 08:10:00;07.01.2006 11:25:00;195;2;Airbus;4168,4167;A320#13;A320#13;SXB;SXB
2142954714;07.01.2006 08:10:00;07.01.2006 12:15:00;245;2;Airbus;4475,4476;A320#14;A320#14;ORY;ORY
41568198;07.01.2006 08:55:00;07.01.2006 20:30:00;695;5;ERJ;4518,2584,2585,4641,4642;ERJ145#3;ERJ145#3;CFE;CFE
1988519473;07.01.2006 09:15:00;07.01.2006 16:00:00;405;4;Fokker;4837,4838,2644,2643;F100#2;F100#2;SXB;SXB
190797265;07.01.2006 09:30:00;07.01.2006 19:45:00;615;6;Airbus;4268,4273,4272,4279,4274,4275;A321#2;A321#2;LYS;LYS
1839244181;07.01.2006 09:35:00;07.01.2006 18:50:00;555;4;Airbus;4658,4657,4650,4651;A321#1;A321#1;TLS;TLS
2039758977;07.01.2006 09:40:00;07.01.2006 21:00:00;680;6;Airbus;2980,2983,2988,2995,3004,3011;A320#7;A320#7;TLS;TLS
1020019581;07.01.2006 09:45:00;07.01.2006 17:35:00;470;4;BAE;2795,2796,2797,2525;BAE200#3;BAE200#3;LRT;LRT
260274019;07.01.2006 09:45:00;07.01.2006 21:35:00;710;4;Fokker;4638,4585,4586,4637;F100#5;F100#5;PUF;PUF
237820880;07.01.2006 09:50:00;07.01.2006 17:50:00;480;4;Airbus;4298,4229,4232,4301;A318#1;A318#1;CFE;CFE
1512368656;07.01.2006 09:50:00;07.01.2006 21:30:00;700;6;Airbus;4408,4411,4412,4415,4416,4421;A319#3;A319#3;MPL;MPL
1731519511;07.01.2006 09:50:00;07.01.2006 18:30:00;520;4;Airbus;4791,4768,4763,2663;A319#13;A319#13;LIL;LIL
1127983490;07.01.2006 09:50:00;07.01.2006 21:45:00;715;2;Airbus;4526,4533;A319#16;A319#16;MRS;MRS
2090911250;07.01.2006 09:50:00;07.01.2006 17:00:00;430;4;Airbus;2977,2984,2989,2996;A320#8;A320#8;ORY;ORY
564194307;07.01.2006 09:50:00;07.01.2006 19:35:00;585;4;CRJ;4502,4501,4352,4347;CRJ100#1;CRJ100#1;BIQ;BIQ
376980210;07.01.2006 09:50:00;07.01.2006 17:15:00;445;4;CRJ;2521,2522,4213,4214;CRJ100#3;CRJ100#3;RNS;RNS
628641533;07.01.2006 09:50:00;07.01.2006 16:00:00;370;4;ERJ;4696,4699,4700,4695;ERJ145#5;ERJ145#5;NCE;NCE
363842328;07.01.2006 09:55:00;07.01.2006 21:05:00;670;6;Airbus;146,147,148,149,150,151;A320#4;A320#4;MLH;MLH
687431273;07.01.2006 10:00:00;07.01.2006 17:30:00;450;4;Airbus;3073,3088,3081,3102;A318#8;A318#8;ORY;ORY
848563345;07.01.2006 10:00:00;07.01.2006 21:05:00;665;6;Airbus;4588,4587,4590,4593,4594,4591;A320#6;A320#6;NTE;NTE
760389092;07.01.2006 10:05:00;07.01.2006 21:20:00;675;6;Airbus;3074,3077,3082,3085,3092,3095;A318#4;A318#4;NCE;NCE
820276643;07.01.2006 10:05:00;07.01.2006 19:15:00;550;4;Airbus;4366,4369,4370,4371;A319#6;A319#6;TLN;TLN
1450422331;07.01.2006 10:05:00;07.01.2006 21:30:00;685;4;Airbus;4228,4239,4238,4237;A320#1;A320#1;BES;BES
472931517;07.01.2006 10:05:00;07.01.2006 19:45:00;580;4;Airbus;4200,4197,4202,4203;A320#15;A320#15;MLH;MLH
1903227280;07.01.2006 10:05:00;07.01.2006 18:30:00;505;4;Airbus;3124,3123,3128,3131;A321#3;A321#3;BOD;BOD
607156385;07.01.2006 10:10:00;07.01.2006 21:40:00;690;6;Airbus;4320,4317,4322,4319,4324,4321;A319#2;A319#2;PUF;PUF
1056745520;07.01.2006 10:10:00;07.01.2006 20:00:00;590;4;Airbus;4725,4705,4706,4730;A320#20;A320#20;NTE;NTE
669806174;07.01.2006 10:30:00;07.01.2006 17:50:00;440;4;Airbus;2886,2919,2896,2899;A320#12;A320#12;MRS;MRS
147048153;07.01.2006 10:30:00;07.01.2006 18:50:00;500;4;BAE;4624,4627,4628,4631;BAE300#3;BAE300#3;SXB;SXB
1501726364;07.01.2006 10:35:00;07.01.2006 18:15:00;460;4;Airbus;3097,3086,3127,3134;A319#11;A319#11;ORY;ORY
259488708;07.01.2006 10:40:00;07.01.2006 18:00:00;440;4;Airbus;2982,2985,2992,2999;A320#10;A320#10;TLS;TLS
1372239857;07.01.2006 10:50:00;07.01.2006 18:00:00;430;4;Airbus;2981,2986,2991,3000;A320#9;A320#9;ORY;ORY
830250430;07.01.2006 10:55:00;07.01.2006 21:40:00;645;4;Airbus;4516,4509,4510,4513;A319#18;A319#18;LYS;LYS
217468053;07.01.2006 11:00:00;07.01.2006 18:30:00;450;4;Airbus;3075,3080,3083,3090;A318#5;A318#5;ORY;ORY
759101347;07.01.2006 11:00:00;07.01.2006 20:35:00;575;4;Airbus;1378,1375,1380,1377;A320#3;A320#3;BIA;BIA
683093156;07.01.2006 11:00:00;07.01.2006 22:00:00;660;4;CRJ;5125,5126,5127,5128;CRJ700#1;CRJ700#1;TLS;TLS
1827753950;07.01.2006 11:25:00;07.01.2006 20:50:00;565;4;CRJ;5165,5093,5094,5166;CRJ100#4;CRJ100#4;BOD;BOD
200550235;07.01.2006 11:30:00;07.01.2006 19:00:00;450;4;Airbus;3111,3112,4365,4368;A319#5;A319#5;ORY;ORY
2052955920;07.01.2006 11:30:00;07.01.2006 18:50:00;440;4;Airbus;2888,2889,2900,2903;A320#17;A320#17;MRS;MRS
2134161410;07.01.2006 11:35:00;07.01.2006 21:15:00;580;4;Airbus;4527,4530,4531,4534;A319#17;A319#17;CDG;CDG
1874672702;07.01.2006 11:35:00;07.01.2006 20:20:00;525;4;Airbus;4567,4568,4571,4572;A321#4;A321#4;CDG;CDG
1194650126;07.01.2006 11:55:00;07.01.2006 20:50:00;535;4;Airbus;4648,4649,4652,4655;A319#10;A319#10;TLS;TLS
363927940;07.01.2006 12:00:00;07.01.2006 21:10:00;550;4;Airbus;4387,4388,4459,4454;A319#7;A319#7;ORY;ORY
1328157009;07.01.2006 12:00:00;07.01.2006 20:20:00;500;4;Airbus;4566,4569,3106,3071;A320#24;A320#24;NCE;NCE
134667610;07.01.2006 12:05:00;07.01.2006 20:25:00;500;4;Airbus;4528,4529,2870,2867;A320#21;A320#21;MRS;MRS
1464848243;07.01.2006 12:15:00;07.01.2006 21:15:00;540;4;Airbus;4602,4601,4596,4595;A319#1;A319#1;BES;BES
645237757;07.01.2006 12:20:00;07.01.2006 19:35:00;435;4;Airbus;4410,4413,4414,4407;A321#5;A321#5;MPL;MPL
1767440095;07.01.2006 12:25:00;07.01.2006 16:55:00;270;2;Airbus;4487,4492;A319#9;A319#9;CDG;CDG
282134252;07.01.2006 12:30:00;07.01.2006 16:15:00;225;2;ERJ;2595,2596;ERJ145#4;ERJ145#4;CFR;CFR
384385166;07.01.2006 12:35:00;07.01.2006 21:20:00;525;3;Airbus;4490,4549,4548;A320#16;A320#16;BOD;BOD
1398633607;07.01.2006 12:35:00;07.01.2006 16:05:00;210;2;CRJ;2619,2620;CRJ700#2;CRJ700#2;RNS;RNS
1662778767;07.01.2006 12:45:00;07.01.2006 20:05:00;440;4;Airbus;4668,4669,4664,4665;A320#18;A320#18;BOD;BOD
1880812379;07.01.2006 13:00:00;07.01.2006 20:20:00;440;4;Airbus;3091,3084,3099,3094;A320#14;A320#14;ORY;ORY
658194566;07.01.2006 13:35:00;07.01.2006 21:00:00;445;4;Airbus;4174,4389,4390,4169;A320#13;A320#13;SXB;SXB
794882901;07.01.2006 14:00:00;07.01.2006 19:50:00;350;2;Airbus;2874,2907;A320#23;A320#23;MRS;MRS
1657007234;07.01.2006 14:30:00;07.01.2006 20:30:00;360;2;Airbus;4619,4620;A318#2;A318#2;ETZ;ETZ
1015490648;07.01.2006 14:40:00;07.01.2006 18:50:00;250;2;Airbus;4435,4436;A320#2;A320#2;AJA;AJA
773559890;07.01.2006 15:35:00;07.01.2006 20:05:00;270;2;Airbus;4578,4575;A320#22;A320#22;NCE;NCE
