aircraft,leg,start,finish,desc
A319#4,70004434,07.01.2006 19:30:00,07.01.2006 20:00:00,changed airport destination to CDG
A319#13,70002663,07.01.2006 17:30:00,07.01.2006 18:30:00,changed airport destination to LIL
A320#5,70004647,07.01.2006 20:30:00,07.01.2006 21:40:00,changed airport destination to ORY
A320#11,70004342,07.01.2006 20:05:00,07.01.2006 21:05:00,changed airport destination to TLS
A320#14,70003094,07.01.2006 19:25:00,07.01.2006 20:20:00,changed airport destination to ORY
A320#16,70004548,07.01.2006 20:00:00,07.01.2006 21:20:00,changed airport destination to BOD
A320#24,70003071,07.01.2006 19:20:00,07.01.2006 20:20:00,changed airport destination to NCE
A321#4,70004572,07.01.2006 19:50:00,07.01.2006 20:20:00,changed airport destination to CDG
BAE200#3,70002525,07.01.2006 16:35:00,07.01.2006 17:35:00,changed airport destination to LRT
BAE300#2,70002798,07.01.2006 13:00:00,07.01.2006 14:00:00,changed airport destination to UIP
ERJ145#3,70004642,07.01.2006 19:30:00,07.01.2006 20:30:00,changed airport destination to CFE
F100#4,70004678,07.01.2006 14:45:00,07.01.2006 15:45:00,changed airport destination to ORY
A318#5,70003093,07.01.2006 19:00:00,07.01.2006 20:20:00,removed flight from ORY to NCE
A319#9,70004489,07.01.2006 17:45:00,07.01.2006 19:05:00,removed flight from CDG to BOD
A319#14,70003135,07.01.2006 17:10:00,07.01.2006 18:15:00,removed flight from ORY to BOD
A320#8,70003003,07.01.2006 17:50:00,07.01.2006 19:00:00,removed flight from ORY to TLS
A320#9,70003007,07.01.2006 18:50:00,07.01.2006 20:00:00,removed flight from ORY to TLS
A320#10,70003008,07.01.2006 18:40:00,07.01.2006 20:00:00,removed flight from TLS to ORY
A320#12,70002912,07.01.2006 18:30:00,07.01.2006 19:50:00,removed flight from MRS to ORY
A321#1,70004654,07.01.2006 19:45:00,07.01.2006 21:15:00,removed flight from TLS to CDG
A321#3,70003138,07.01.2006 19:25:00,07.01.2006 20:35:00,removed flight from BOD to ORY
CRJ100#1,70004358,07.01.2006 20:25:00,07.01.2006 21:45:00,removed flight from BIQ to ORY
CRJ100#2,70004394,07.01.2006 12:15:00,07.01.2006 14:00:00,removed flight from FSC to ORY
