crew_id,AJA,BOD,CFE,ETZ,LIG,MLH,MRS,URO
TQRQOMPH,1,1,1,1,1,1,1,1
JQIOWKFI,1,1,1,1,1,1,1,1
LFHOAZBG,1,1,1,1,1,1,1,1
FPRUVPDO,1,1,1,1,1,1,1,1
WCNBFWZH,1,1,1,1,1,1,1,1
YACNNDCV,1,1,1,1,1,1,1,1
OMSSECLZ,1,1,1,1,1,1,1,1
BOMYMLUH,1,1,1,1,1,1,1,1
OPCNSRKB,1,1,1,1,1,1,1,1
VHPMGDNE,1,1,1,1,1,1,1,1
DEPAIHHL,1,1,1,1,1,1,1,1
BAVANIIT,1,1,1,1,1,1,1,1
VPDKAXNF,1,1,1,1,1,1,1,1
MBYHFBEB,1,1,1,1,1,1,1,1
BDLJIBIO,1,1,1,1,1,1,1,1
EZIFJTTW,1,1,1,1,1,1,1,1
IEQQEKJG,1,1,1,1,1,1,1,1
OQUNGQZD,1,1,1,1,1,1,1,1
NUSJTJLU,1,1,1,1,1,1,1,1
ZKBTFOCE,1,1,1,1,1,1,1,1
UDIXLPJL,1,1,1,1,1,1,1,1
HHREPHLO,1,1,1,1,1,1,1,1
SVDUXMGY,1,1,1,1,1,1,1,1
YPUKRMUP,1,1,1,1,1,1,1,1
WJBTLQIL,1,1,1,1,1,1,1,1
XTIFXZVP,1,1,1,1,1,1,1,1
NWWBRGLM,1,1,1,1,1,1,1,1
EKYASVJS,1,1,1,1,1,1,1,1
MPNBMATH,1,1,1,1,1,1,1,1
MQMGAIUO,1,1,1,1,1,1,1,1
WDXYRYVU,1,1,1,1,1,1,1,1
PPKXPKGO,1,1,1,1,1,1,1,1
BUVTNKOB,1,1,1,1,1,1,1,1
CIKLNUOI,1,1,1,1,1,1,1,1
WYNXMZGQ,1,1,1,1,1,1,1,1
MBSVNOBZ,1,1,1,1,1,1,1,1
LBOOICZD,1,1,1,1,1,1,1,1
WJRKCVSL,1,1,1,1,1,1,1,1
FQMUQJEJ,1,1,1,1,1,1,1,1
