crew_id,BIQ,CDG,LYS
TFADEGLZ,1,1,1
NXCVDOMN,1,1,1
KWMAURKS,1,1,1
RZOHYJZY,1,1,1
MFHPFQMU,1,1,1
QKWLMWNF,1,1,1
FDNTKTPT,1,1,1
YDNVHUNJ,1,1,1
HXGQRZXB,1,1,1
HDFJENIJ,1,1,1
HDZTHODA,1,1,1
ICDGTQVO,1,1,1
OMOMVLWG,1,1,1
AHHVDBJX,1,1,1
ZHOARQXJ,1,1,1
ZIGFTENT,1,1,1
XWCJMEWR,1,1,1
MYAKHHPV,1,1,1
CJQMUMGM,1,1,1
XBJXWEAS,1,1,1
ZQFIGEQX,1,1,1
ZAXCCFIH,1,1,1
QEQFBSWJ,1,1,1
XLLQDBBF,1,1,1
VMCRZXKU,1,1,1
EBMNYOGO,1,1,1
TDCTIVSI,1,1,1
FRYONESR,1,1,1
GXMPRNJL,1,1,1
MWTXPTKR,1,1,1
QLQKNNMY,1,1,1
AIAPUOJH,1,1,1
LVMHWUEJ,1,1,1
QFIFSWZU,1,1,1
XOLMOXAU,1,1,1
NJBMCOGG,1,1,1
JCMFVIWI,1,1,1
VRJKEJEZ,1,1,1
TWVDOEFI,1,1,1
VGEJWBUH,1,1,1
ONBNJAGZ,1,1,1
KSQNLQUH,1,1,1
RJOBKWKS,1,1,1
CBQWJFUS,1,1,1
GMOJRETM,1,1,1
LQSNIJSP,1,1,1
DRBCBSNO,1,1,1
PDFYLCJZ,1,1,1
NPFDBNFM,1,1,1
FZACJUKH,1,1,1
LAPTUHKS,1,1,1
NXSJTODY,1,1,1
LKNDDJUF,1,1,1
XTAUGQPY,1,1,1
VJZVMIKF,1,1,1
IEDGSGMS,1,1,1
IJEUUUAC,1,1,1
AJLUXODE,1,1,1
PNSBUNFX,1,1,1
XGELAFIG,1,1,1
OEBKISQY,1,1,1
JLNFRYWP,1,1,1
ZSDBOQCS,1,1,1
QMOIWPMW,1,1,1
SIJVMNLB,1,1,1
YBSDZVGK,1,1,1
YGPRPIKU,1,1,1
BRVGXTLA,1,1,1
IWSRZJVJ,1,1,1
TXIUUVLU,1,1,1
KKCUTTCF,1,1,1
TKGSQMRN,1,1,1
SEWEYXHC,1,1,1
PXWZKESF,1,1,1
XJUDPLTA,1,1,1
FHVYHOVW,1,1,1
GESLUEYX,1,1,1
KEDTQOWY,1,1,1
JEUEVDBX,1,1,1
TNQOPHPW,1,1,1
UDDMJYKA,1,1,1
JJJBTGVU,1,1,1
UEGYVYKF,1,1,1
SHIGNCGJ,1,1,1
GNEQAVJZ,1,1,1
LDCVDUZE,1,1,1
VATXGTBY,1,1,1
JFGKSXFM,1,1,1
SSVPDLZB,1,1,1
WDWQZUWS,1,1,1
QHUEIMIM,1,1,1
VXZLGNUX,1,1,1
KFIWDCNK,1,1,1
VPXENPYF,1,1,1
WHZTYOZM,1,1,1
EUMQENZA,1,1,1
XOAQGDEL,1,1,1
TIVKFYWR,1,1,1
IYVXNCLM,1,1,1
CFLQATGH,1,1,1
WYTGDKQL,1,1,1
RYIHJIAK,1,1,1
WFMFLBCZ,1,1,1
SNRIIKZV,1,1,1
LFMCHXLU,1,1,1
CBCHQOIV,1,1,1
PSFRMCNF,1,1,1
PCDFAGIN,1,1,1
VKCQYVQB,1,1,1
CPARMNUF,1,1,1
WBUHZXVH,1,1,1
QMZNGRKH,1,1,1
OTWOECAX,1,1,1
OJKPXMFZ,1,1,1
BYRYHCJG,1,1,1
DEZOJAZE,1,1,1
DEBSUNTJ,1,1,1
ZRUJGXNI,1,1,1
HUPRPUFA,1,1,1
ZJGCBATM,1,1,1
MOWJZYCO,1,1,1
PUYXTNLX,1,1,1
ERAWWUWZ,1,1,1
PCSGPVYC,1,1,1
XOQALLYP,1,1,1
HEVTFZWO,1,1,1
SLZXBTQM,1,1,1
PROKXGDR,1,1,1
UTZYECFW,1,1,1
DXCPPSJO,1,1,1
VIOQVUDM,1,1,1
JXIZOFIJ,1,1,1
UVBWCYUV,1,1,1
PYISHGQZ,1,1,1
OXZDMJAQ,1,1,1
YHAKLNQC,1,1,1
ZBDLNWKI,1,1,1
TFSCSRDF,1,1,1
VWZSZZDA,1,1,1
ZYZSASOP,1,1,1
NGDMYJNP,1,1,1
XFNNXGOP,1,1,1
LLMDKJEM,1,1,1
UMSLDONN,1,1,1
LNICSFJD,1,1,1
BNRIEULD,1,1,1
TZUSWUQO,1,1,1
BXBADSEJ,1,1,1
VFURIYAW,1,1,1
GHELILNJ,1,1,1
YWEROTQK,1,1,1
MLUKILIV,1,1,1
IEKJTDAF,1,1,1
REBKNCKR,1,1,1
WCXEGEGA,1,1,1
BZEYXUNV,1,1,1
PIRCAPIX,1,1,1
MEJNPQWP,1,1,1
NGNFCWGN,1,1,1
QJESMRJZ,1,1,1
PQAOLBYB,1,1,1
CPEHCEGR,1,1,1
VZQGVIQD,1,1,1
SQXPOLZX,1,1,1
EDMFVTJS,1,1,1
TDGRQSVJ,1,1,1
CNFXTTJE,1,1,1
ZKTNUOSK,1,1,1
ZWWLJPTA,1,1,1
XKKDCOMO,1,1,1
SPPQOMVO,1,1,1
AMBNBRXT,1,1,1
YCQLVWCG,1,1,1
NTPEWYKQ,1,1,1
IZCQJVTZ,1,1,1
CTHNYEGH,1,1,1
HKRZXLBG,1,1,1
WLVMVVNZ,1,1,1
XKOJVTJC,1,1,1
UNDFMRCE,1,1,1
FKJEENKW,1,1,1
MYVNKSFA,1,1,1
OTJKWEVL,1,1,1
HUTIQLLB,1,1,1
EPQMMGVS,1,1,1
JVDSJTQF,1,1,1
DKNDRJCM,1,1,1
HCDZPIOZ,1,1,1
PFKPRNBP,1,1,1
TABUVRWZ,1,1,1
NYCHHMQO,1,1,1
NCGYXXTU,1,1,1
HDARBIKL,1,1,1
OHZGNANA,1,1,1
ACYGRXVW,1,1,1
QTBFOQQP,1,1,1
APANBHIH,1,1,1
GQMFMBKS,1,1,1
JKROFFHP,1,1,1
XEICMEMU,1,1,1
ESXQXQRK,1,1,1
SYKTUERW,1,1,1
UBENIVCM,1,1,1
LQONSUYY,1,1,1
TVJBTUWF,1,1,1
WWGEWMSA,1,1,1
UONWEFYJ,1,1,1
VZNFYUFF,1,1,1
KHGEHXZU,1,1,1
TBKLOUHP,1,1,1
SUXXTQAI,1,1,1
QUVSJSOL,1,1,1
LZNWACZO,1,1,1
DFRIHXRO,1,1,1
SEMNWAAS,1,1,1
KMTIDYCH,1,1,1
ZUGBBXCW,1,1,1
MTMLAETI,1,1,1
