crew_id,BIQ,CDG,MLH,MPL,NCE,ORY
XUONFKDJ,1,1,1,1,1,1
JGMFMSNO,1,1,1,1,1,1
PGSCOKOC,1,1,1,1,1,1
GNGVRQLO,1,1,1,1,1,1
TGPEMQCM,1,1,1,1,1,1
QXZZDVUK,1,1,1,1,1,1
JLFDYCLE,1,1,1,1,1,1
FPEVLZEA,1,1,1,1,1,1
JHLFSPLV,1,1,1,1,1,1
RBDWXWLH,1,1,1,1,1,1
SJUJANNG,1,1,1,1,1,1
CXUDPFNG,1,1,1,1,1,1
ZRSEZANT,1,1,1,1,1,1
JWIRAKJA,1,1,1,1,1,1
NPZRCSOL,1,1,1,1,1,1
CEMWWBEC,1,1,1,1,1,1
LDIUMZZQ,1,1,1,1,1,1
EDMBOTYT,1,1,1,1,1,1
QBROPPRY,1,1,1,1,1,1
HIGKBOYE,1,1,1,1,1,1
GNSRPNWM,1,1,1,1,1,1
WYQKFYLG,1,1,1,1,1,1
GOYKIUPI,1,1,1,1,1,1
OBZVEYGJ,1,1,1,1,1,1
RNILLMOY,1,1,1,1,1,1
CXREYZWE,1,1,1,1,1,1
LBUULZVB,1,1,1,1,1,1
NFGOUKWR,1,1,1,1,1,1
IUEAUUKE,1,1,1,1,1,1
MZUGHUJT,1,1,1,1,1,1
AQIHVCTP,1,1,1,1,1,1
RXGGPRGD,1,1,1,1,1,1
ROXHTDIK,1,1,1,1,1,1
TVUXJVPQ,1,1,1,1,1,1
HAWDBTVW,1,1,1,1,1,1
ECAWXIKC,1,1,1,1,1,1
NTBMOUGJ,1,1,1,1,1,1
KXZHPHMC,1,1,1,1,1,1
GTARXYOQ,1,1,1,1,1,1
EXUYTZKQ,1,1,1,1,1,1
DWJKLJPY,1,1,1,1,1,1
JYIBQNAZ,1,1,1,1,1,1
VSPEFQDE,1,1,1,1,1,1
PWDLUGSM,1,1,1,1,1,1
TUEAUEJA,1,1,1,1,1,1
CFKZGFSH,1,1,1,1,1,1
ENMNDNCH,1,1,1,1,1,1
VZRPGXSV,1,1,1,1,1,1
GUXKHTUH,1,1,1,1,1,1
JNPOSWEU,1,1,1,1,1,1
DVLJCIZN,1,1,1,1,1,1
UDSDMAPW,1,1,1,1,1,1
BJOQRTTK,1,1,1,1,1,1
CMWZMJHN,1,1,1,1,1,1
OBFPGHHO,1,1,1,1,1,1
YFVSTBVE,1,1,1,1,1,1
OKUAMKHF,1,1,1,1,1,1
CBZFWUWO,1,1,1,1,1,1
REHRLHUD,1,1,1,1,1,1
CITOGLVU,1,1,1,1,1,1
XNTCXOJV,1,1,1,1,1,1
QHXOKTOG,1,1,1,1,1,1
ZLUWCUYO,1,1,1,1,1,1
IGNYBOUK,1,1,1,1,1,1
TOVWXEIR,1,1,1,1,1,1
DPGECONJ,1,1,1,1,1,1
NGPXLYIT,1,1,1,1,1,1
YARWGSLZ,1,1,1,1,1,1
UAHSUYQL,1,1,1,1,1,1
CXDKISOP,1,1,1,1,1,1
INOLWANX,1,1,1,1,1,1
RZFHCONF,1,1,1,1,1,1
HFGNATVM,1,1,1,1,1,1
DVUYHWXV,1,1,1,1,1,1
FPIOHIFZ,1,1,1,1,1,1
OUTRJYOD,1,1,1,1,1,1
YTCGRYOQ,1,1,1,1,1,1
NEPPLOIT,1,1,1,1,1,1
GCVYZEWA,1,1,1,1,1,1
HJHMSKYU,1,1,1,1,1,1
FOBTQOFI,1,1,1,1,1,1
QYREVEAB,1,1,1,1,1,1
CMIBPDGW,1,1,1,1,1,1
OETQUATA,1,1,1,1,1,1
CXGACPYW,1,1,1,1,1,1
WCDEJESN,1,1,1,1,1,1
PTCLKXLS,1,1,1,1,1,1
QCCAGRVT,1,1,1,1,1,1
YQFCBOVU,1,1,1,1,1,1
HPUWUTKX,1,1,1,1,1,1
ZGUGOUGA,1,1,1,1,1,1
LBSYIWCL,1,1,1,1,1,1
YMZOTMWE,1,1,1,1,1,1
SVXLFKZS,1,1,1,1,1,1
VMVUGPFK,1,1,1,1,1,1
DFVQBHDN,1,1,1,1,1,1
ICVQQWMK,1,1,1,1,1,1
OJYOYJJZ,1,1,1,1,1,1
KQVXGYNB,1,1,1,1,1,1
LNXMSJWU,1,1,1,1,1,1
RDEIJKKY,1,1,1,1,1,1
VXGDOUTC,1,1,1,1,1,1
DLKJMIFJ,1,1,1,1,1,1
EBDXICXA,1,1,1,1,1,1
WXWMHTCU,1,1,1,1,1,1
RCARPEBR,1,1,1,1,1,1
AQMOQPZT,1,1,1,1,1,1
ATEROGDX,1,1,1,1,1,1
CBXHLDSK,1,1,1,1,1,1
CSOLYKJM,1,1,1,1,1,1
NLKWUFCP,1,1,1,1,1,1
YJDUPLMC,1,1,1,1,1,1
AHWUZPZA,1,1,1,1,1,1
AVPHWJOU,1,1,1,1,1,1
PBEBTWRJ,1,1,1,1,1,1
DGXDCLUP,1,1,1,1,1,1
KDVFURGU,1,1,1,1,1,1
QOTNYJSY,1,1,1,1,1,1
LEGPRJRZ,1,1,1,1,1,1
AVMPEDWQ,1,1,1,1,1,1
LRIDICPR,1,1,1,1,1,1
BGMETTCT,1,1,1,1,1,1
FPIHKIAA,1,1,1,1,1,1
DZFNLNNR,1,1,1,1,1,1
BDFPGRTE,1,1,1,1,1,1
JPKPFVTG,1,1,1,1,1,1
YLPATCUU,1,1,1,1,1,1
TGCPCPMF,1,1,1,1,1,1
CGRIMSUS,1,1,1,1,1,1
LBGFPDOQ,1,1,1,1,1,1
DYCTLUAF,1,1,1,1,1,1
SNHGCDSA,1,1,1,1,1,1
LNXVJRWY,1,1,1,1,1,1
ZXXLMBWL,1,1,1,1,1,1
PQEKHLOB,1,1,1,1,1,1
QBHSEAXG,1,1,1,1,1,1
QSRHGLBC,1,1,1,1,1,1
NUDWNRJE,1,1,1,1,1,1
MMJLLVQY,1,1,1,1,1,1
TCJBLAPV,1,1,1,1,1,1
CFEGQXPL,1,1,1,1,1,1
VWBUKBBU,1,1,1,1,1,1
QBCBAJKP,1,1,1,1,1,1
HFRTDFZO,1,1,1,1,1,1
BHVZQTMQ,1,1,1,1,1,1
YAKHPCCJ,1,1,1,1,1,1
FXRBIUKT,1,1,1,1,1,1
WSALPHAU,1,1,1,1,1,1
EAZGNCWY,1,1,1,1,1,1
QARTZLCM,1,1,1,1,1,1
ZSOJYTWK,1,1,1,1,1,1
QHIZDVRZ,1,1,1,1,1,1
BIAYVBDK,1,1,1,1,1,1
CBHVMBQZ,1,1,1,1,1,1
IPAWPIIN,1,1,1,1,1,1
BXGXCSXJ,1,1,1,1,1,1
ILUGNYZA,1,1,1,1,1,1
NADBORRG,1,1,1,1,1,1
XRDWELEG,1,1,1,1,1,1
AJOAJBOI,1,1,1,1,1,1
FEQGMCUM,1,1,1,1,1,1
BORMPNLT,1,1,1,1,1,1
FNVXIPQG,1,1,1,1,1,1
LSCMDFFU,1,1,1,1,1,1
OQGPYUBR,1,1,1,1,1,1
DEGSHBJD,1,1,1,1,1,1
BDWCVWVD,1,1,1,1,1,1
MNWAACRE,1,1,1,1,1,1
BSLCBOLA,1,1,1,1,1,1
JFOPMRAK,1,1,1,1,1,1
TMFXELUN,1,1,1,1,1,1
XNXISMQB,1,1,1,1,1,1
TXFBGDHM,1,1,1,1,1,1
YHXQPYHS,1,1,1,1,1,1
GDXLIORH,1,1,1,1,1,1
ICKQVHNM,1,1,1,1,1,1
TDXBMNMZ,1,1,1,1,1,1
ASZHYGRS,1,1,1,1,1,1
GJDUCPHU,1,1,1,1,1,1
TPGPEGXF,1,1,1,1,1,1
RAGAHHDN,1,1,1,1,1,1
SZMCQVYO,1,1,1,1,1,1
MVUOSTPF,1,1,1,1,1,1
WZQZYNXR,1,1,1,1,1,1
WLGAFSID,1,1,1,1,1,1
GOFXAZYI,1,1,1,1,1,1
WAEQNMPO,1,1,1,1,1,1
LEVPSSGL,1,1,1,1,1,1
LJYDRBRN,1,1,1,1,1,1
EMQQABQU,1,1,1,1,1,1
SDMFGEIT,1,1,1,1,1,1
ENTBNKBC,1,1,1,1,1,1
CCMHOSWC,1,1,1,1,1,1
GJRHLWDB,1,1,1,1,1,1
WKWHUKGJ,1,1,1,1,1,1
YMJZNZNU,1,1,1,1,1,1
DABKZIES,1,1,1,1,1,1
ELJZKFVG,1,1,1,1,1,1
BWSDQOOX,1,1,1,1,1,1
YHITBGQU,1,1,1,1,1,1
ZQCDENRA,1,1,1,1,1,1
BWPYGGZE,1,1,1,1,1,1
SEZFEDYA,1,1,1,1,1,1
ATJWWAUP,1,1,1,1,1,1
GTIXPWIU,1,1,1,1,1,1
VBIOTCSX,1,1,1,1,1,1
LPXFDXDF,1,1,1,1,1,1
GVGTZNWW,1,1,1,1,1,1
HVGELMVV,1,1,1,1,1,1
SOTFLHYX,1,1,1,1,1,1
SYDKAKBL,1,1,1,1,1,1
HQCNNMUG,1,1,1,1,1,1
JXFRKNNO,1,1,1,1,1,1
LLQABBXI,1,1,1,1,1,1
IRIEUFYA,1,1,1,1,1,1
RDBYEHUO,1,1,1,1,1,1
AHZLMMMC,1,1,1,1,1,1
ZLQIXTGX,1,1,1,1,1,1
GMWXFBYU,1,1,1,1,1,1
ICADSGOF,1,1,1,1,1,1
KFAHWWBQ,1,1,1,1,1,1
CEKHYIFL,1,1,1,1,1,1
YUKTCNBG,1,1,1,1,1,1
EVXQJYSF,1,1,1,1,1,1
NYXKYQET,1,1,1,1,1,1
UZBACMLO,1,1,1,1,1,1
QEMLKHDP,1,1,1,1,1,1
NUMFUVTI,1,1,1,1,1,1
UTIMBMFI,1,1,1,1,1,1
PXXPOAKP,1,1,1,1,1,1
AYNFVTAQ,1,1,1,1,1,1
VAITMMLF,1,1,1,1,1,1
TGMXNRIR,1,1,1,1,1,1
ZCKUIIUM,1,1,1,1,1,1
FQGKTVVB,1,1,1,1,1,1
HMEWAJKN,1,1,1,1,1,1
WHXBWOBP,1,1,1,1,1,1
YNDXEVGS,1,1,1,1,1,1
BGNKPHPX,1,1,1,1,1,1
TSTBFRUY,1,1,1,1,1,1
MEBXHURS,1,1,1,1,1,1
VRNTQNKZ,1,1,1,1,1,1
IMLNRSCX,1,1,1,1,1,1
LPBDUWGH,1,1,1,1,1,1
YWAAXWMI,1,1,1,1,1,1
