id,position,rank,base,acclimatization,duty_time,rest_time,tacc_week,tacc_month,tacc_year,cpm_deadhead,cpm_reserve,specs
YBTNMXXJ,LEH,CP,LEH,LEH,0,1200,0,0,0,25,47,ERJ
ZIKFZAAT,LEH,FO,LEH,LEH,0,1200,0,0,0,26,56,ERJ
JNHWDABM,LEH,CSD,LEH,LEH,0,1200,0,0,0,22,57,ERJ
XUYEIJEQ,LEH,ST,LEH,LEH,0,1200,0,0,0,21,50,ERJ
ZSUWLWLV,LEH,ST,LEH,LEH,0,1200,0,0,0,25,58,ERJ
ZVDGYYYM,LEH,ST,LEH,LEH,0,1200,0,0,0,24,42,ERJ
BNMGZNZS,TLS,CP,TLS,TLS,0,1200,0,0,0,25,53,CRJ
URPJUDYD,TLS,FO,TLS,TLS,0,1200,0,0,0,28,56,CRJ
SJBKNNTE,TLS,CSD,TLS,TLS,0,1200,0,0,0,20,59,CRJ
DCGWJTCH,TLS,ST,TLS,TLS,0,1200,0,0,0,21,51,CRJ
SIPDQJBE,TLS,ST,TLS,TLS,0,1200,0,0,0,21,55,CRJ
EHJFKBCA,BES,CP,BES,BES,0,1200,0,0,0,25,48,Airbus
LTHXWBIX,BES,FO,BES,BES,0,1200,0,0,0,24,54,Airbus
PTWTFNNL,BES,CSD,BES,BES,0,1200,0,0,0,24,46,Airbus
FXGYYAKG,BES,CSD,BES,BES,0,1200,0,0,0,20,41,Airbus
PGXFYYZS,BES,ST,BES,BES,0,1200,0,0,0,27,57,Airbus
KVVVZQPW,BES,ST,BES,BES,0,1200,0,0,0,23,56,Airbus
VHVTCXPV,BES,ST,BES,BES,0,1200,0,0,0,24,47,Airbus
LWILDWNK,BES,ST,BES,BES,0,1200,0,0,0,27,56,Airbus
PLUELVHQ,BES,ST,BES,BES,0,1200,0,0,0,26,44,Airbus
KVJCDOKE,BES,ST,BES,BES,0,1200,0,0,0,27,41,Airbus
GCQANGIC,RNS,CP,RNS,RNS,0,1200,0,0,0,22,53,CRJ
EJDEZSVF,RNS,FO,RNS,RNS,0,1200,0,0,0,24,51,CRJ
SPNHTTPB,RNS,CSD,RNS,RNS,0,1200,0,0,0,23,48,CRJ
YMFIBEMZ,RNS,ST,RNS,RNS,0,1200,0,0,0,21,57,CRJ
KXKNCILD,RNS,ST,RNS,RNS,0,1200,0,0,0,29,56,CRJ
ZZEATHPC,CFR,CP,CFR,CFR,0,1200,0,0,0,22,54,ERJ
HVVAIWPR,CFR,FO,CFR,CFR,0,1200,0,0,0,26,43,ERJ
QBRHALBY,CFR,CSD,CFR,CFR,0,1200,0,0,0,24,45,ERJ
IMWJAVZX,CFR,ST,CFR,CFR,0,1200,0,0,0,28,54,ERJ
EXLOITJH,CFR,ST,CFR,CFR,0,1200,0,0,0,28,43,ERJ
JGCHSLTI,CFR,ST,CFR,CFR,0,1200,0,0,0,27,53,ERJ
IPHHZAQB,BES,CP,BES,BES,0,1200,0,0,0,29,56,Fokker
AQJVSJKD,BES,FO,BES,BES,0,1200,0,0,0,23,47,Fokker
MYOUVYYY,BES,CSD,BES,BES,0,1200,0,0,0,25,46,Fokker
FLJQAVKE,BES,ST,BES,BES,0,1200,0,0,0,21,50,Fokker
MMNDXLFA,BES,ST,BES,BES,0,1200,0,0,0,25,40,Fokker
LCEWXEDC,BES,ST,BES,BES,0,1200,0,0,0,24,57,Fokker
CLJHJPIU,PUF,CP,PUF,PUF,0,1200,0,0,0,27,54,Fokker
EVDKRXUF,PUF,FO,PUF,PUF,0,1200,0,0,0,25,51,Fokker
FHGBSSWH,PUF,CSD,PUF,PUF,0,1200,0,0,0,24,53,Fokker
NVTDIBTZ,PUF,ST,PUF,PUF,0,1200,0,0,0,26,41,Fokker
JDEBLFNI,PUF,ST,PUF,PUF,0,1200,0,0,0,25,45,Fokker
FTMFRNYR,PUF,ST,PUF,PUF,0,1200,0,0,0,21,52,Fokker
IXPDLGOH,MLH,CP,MLH,MLH,0,1200,0,0,0,23,52,Airbus
CUHZTALS,MLH,FO,MLH,MLH,0,1200,0,0,0,26,53,Airbus
GFMHFTPR,MLH,CSD,MLH,MLH,0,1200,0,0,0,21,46,Airbus
DRCOPMPA,MLH,CSD,MLH,MLH,0,1200,0,0,0,25,43,Airbus
NRYELCUC,MLH,ST,MLH,MLH,0,1200,0,0,0,28,50,Airbus
VWLKUERI,MLH,ST,MLH,MLH,0,1200,0,0,0,28,45,Airbus
OTKPVMFH,MLH,ST,MLH,MLH,0,1200,0,0,0,27,54,Airbus
LNKARUDA,MLH,ST,MLH,MLH,0,1200,0,0,0,25,57,Airbus
PTPWTGKH,MLH,ST,MLH,MLH,0,1200,0,0,0,20,51,Airbus
LJZFNZOA,MLH,ST,MLH,MLH,0,1200,0,0,0,22,55,Airbus
JPVLWOQB,MRS,CP,MRS,MRS,0,1200,0,0,0,24,52,Airbus
OQCJQKWK,MRS,FO,MRS,MRS,0,1200,0,0,0,20,52,Airbus
OAJSHAWA,MRS,CSD,MRS,MRS,0,1200,0,0,0,25,47,Airbus
UFBJCZBY,MRS,CSD,MRS,MRS,0,1200,0,0,0,21,45,Airbus
GXSISLFE,MRS,ST,MRS,MRS,0,1200,0,0,0,22,47,Airbus
IQSXAAWP,MRS,ST,MRS,MRS,0,1200,0,0,0,21,59,Airbus
STXABZZE,MRS,ST,MRS,MRS,0,1200,0,0,0,29,58,Airbus
RROEJOGE,MRS,ST,MRS,MRS,0,1200,0,0,0,27,48,Airbus
ONIYQCRG,MRS,ST,MRS,MRS,0,1200,0,0,0,23,41,Airbus
EEXCAVHE,MRS,ST,MRS,MRS,0,1200,0,0,0,28,48,Airbus
NUAAXGQL,LIG,CP,LIG,LIG,0,1200,0,0,0,23,59,BAE
NWUGFVNW,LIG,FO,LIG,LIG,0,1200,0,0,0,28,45,BAE
WBGOUCGA,LIG,CS,LIG,LIG,0,1200,0,0,0,25,50,BAE
IBRBERIF,LIG,ST,LIG,LIG,0,1200,0,0,0,22,48,BAE
WDPWLHJR,LIG,ST,LIG,LIG,0,1200,0,0,0,23,42,BAE
FISITXEW,AVN,CP,AVN,AVN,0,1200,0,0,0,20,53,ERJ
GYETWIBN,AVN,FO,AVN,AVN,0,1200,0,0,0,23,55,ERJ
LRJQGXZG,AVN,CSD,AVN,AVN,0,1200,0,0,0,23,44,ERJ
YNKZKOSO,AVN,ST,AVN,AVN,0,1200,0,0,0,26,41,ERJ
JAECUGBX,AVN,ST,AVN,AVN,0,1200,0,0,0,21,41,ERJ
IMTTXLWD,AVN,ST,AVN,AVN,0,1200,0,0,0,27,57,ERJ
DMDIKLEY,RNS,CP,RNS,RNS,0,1200,0,0,0,21,43,Fokker
TIUMLEWR,RNS,FO,RNS,RNS,0,1200,0,0,0,23,56,Fokker
FQOGEJEH,RNS,CSD,RNS,RNS,0,1200,0,0,0,28,54,Fokker
ONLWPTCE,RNS,ST,RNS,RNS,0,1200,0,0,0,25,55,Fokker
