crew_id,BIA,CFE,LRT,MPL,RNS
YBTNMXXJ,1,1,1,1,1
ZIKFZAAT,1,1,1,1,1
JNHWDABM,1,1,1,1,1
XUYEIJEQ,1,1,1,1,1
ZSUWLWLV,1,1,1,1,1
ZVDGYYYM,1,1,1,1,1
BNMGZNZS,1,1,1,1,1
URPJUDYD,1,1,1,1,1
SJBKNNTE,1,1,1,1,1
DCGWJTCH,1,1,1,1,1
SIPDQJBE,1,1,1,1,1
EHJFKBCA,1,1,1,1,1
LTHXWBIX,1,1,1,1,1
PTWTFNNL,1,1,1,1,1
FXGYYAKG,1,1,1,1,1
PGXFYYZS,1,1,1,1,1
KVVVZQPW,1,1,1,1,1
VHVTCXPV,1,1,1,1,1
LWILDWNK,1,1,1,1,1
PLUELVHQ,1,1,1,1,1
KVJCDOKE,1,1,1,1,1
GCQANGIC,1,1,1,1,1
EJDEZSVF,1,1,1,1,1
SPNHTTPB,1,1,1,1,1
YMFIBEMZ,1,1,1,1,1
KXKNCILD,1,1,1,1,1
ZZEATHPC,1,1,1,1,1
HVVAIWPR,1,1,1,1,1
QBRHALBY,1,1,1,1,1
IMWJAVZX,1,1,1,1,1
EXLOITJH,1,1,1,1,1
JGCHSLTI,1,1,1,1,1
IPHHZAQB,1,1,1,1,1
AQJVSJKD,1,1,1,1,1
MYOUVYYY,1,1,1,1,1
FLJQAVKE,1,1,1,1,1
MMNDXLFA,1,1,1,1,1
LCEWXEDC,1,1,1,1,1
CLJHJPIU,1,1,1,1,1
EVDKRXUF,1,1,1,1,1
FHGBSSWH,1,1,1,1,1
NVTDIBTZ,1,1,1,1,1
JDEBLFNI,1,1,1,1,1
FTMFRNYR,1,1,1,1,1
IXPDLGOH,1,1,1,1,1
CUHZTALS,1,1,1,1,1
GFMHFTPR,1,1,1,1,1
DRCOPMPA,1,1,1,1,1
NRYELCUC,1,1,1,1,1
VWLKUERI,1,1,1,1,1
OTKPVMFH,1,1,1,1,1
LNKARUDA,1,1,1,1,1
PTPWTGKH,1,1,1,1,1
LJZFNZOA,1,1,1,1,1
JPVLWOQB,1,1,1,1,1
OQCJQKWK,1,1,1,1,1
OAJSHAWA,1,1,1,1,1
UFBJCZBY,1,1,1,1,1
GXSISLFE,1,1,1,1,1
IQSXAAWP,1,1,1,1,1
STXABZZE,1,1,1,1,1
RROEJOGE,1,1,1,1,1
ONIYQCRG,1,1,1,1,1
EEXCAVHE,1,1,1,1,1
NUAAXGQL,1,1,1,1,1
NWUGFVNW,1,1,1,1,1
WBGOUCGA,1,1,1,1,1
IBRBERIF,1,1,1,1,1
WDPWLHJR,1,1,1,1,1
FISITXEW,1,1,1,1,1
GYETWIBN,1,1,1,1,1
LRJQGXZG,1,1,1,1,1
YNKZKOSO,1,1,1,1,1
JAECUGBX,1,1,1,1,1
IMTTXLWD,1,1,1,1,1
DMDIKLEY,1,1,1,1,1
TIUMLEWR,1,1,1,1,1
FQOGEJEH,1,1,1,1,1
ONLWPTCE,1,1,1,1,1
JPCCHWWZ,1,1,1,1,1
TMAJKVVL,1,1,1,1,1
XGSHAUIR,1,1,1,1,1
SBREMTCY,1,1,1,1,1
CYIVNQTJ,1,1,1,1,1
YBKVTEQL,1,1,1,1,1
