leg_id,delta
7000145,9
7000146,14
7000152,6
70001378,6
70002518,38
70002521,19
70002522,24
70002526,27
70002581,43
70002593,20
70002597,4
70002598,11
70002605,18
70002606,18
70002647,75
70002657,19
70002661,90
70002662,84
70002868,19
70002877,17
70002883,8
70002888,27
70002969,43
70002970,39
70002975,39
70002976,45
70002977,35
70002981,35
70002982,48
70002983,18
70002984,42
70003074,29
70003075,75
70003111,5
70003118,32
70003119,30
70003124,27
70004167,15
70004200,27
70004225,43
70004228,44
70004229,17
70004296,4
70004344,18
70004375,34
70004376,24
70004393,49
70004400,43
70004502,105
70004524,22
70004584,28
70004599,120
70004600,75
70004617,34
70004618,33
70004657,43
70004723,25
70004726,18
70004784,120
70004837,70
70004838,61
70005124,38
70005125,30
