crew_id,BIA,FSC,UIP
RHINQLPI,1,1,1
LRUHTUFI,1,1,1
SHGQJTLL,1,1,1
QMIPMNPS,1,1,1
LJWMNMSU,1,1,1
UJGETCCU,1,1,1
WVPYKDMU,1,1,1
NXYWBPTM,1,1,1
HRQBSEVF,1,1,1
MVTQKSHF,1,1,1
GDVMGXJY,1,1,1
WNFGDOJS,1,1,1
ASNYCTBM,1,1,1
COQVMMMS,1,1,1
KGYSZVOJ,1,1,1
JRWUGOWZ,1,1,1
JZUSNTEH,1,1,1
GHEBOXMD,1,1,1
FBZIYQHH,1,1,1
PLJPCLPX,1,1,1
PROFNDJO,1,1,1
KPJPZSGW,1,1,1
ZKLYFABF,1,1,1
CEPZPCSJ,1,1,1
GGKZMYZQ,1,1,1
BMSAHRRZ,1,1,1
MRKFBMYM,1,1,1
LBOQWSXD,1,1,1
UYUEGTDN,1,1,1
KSZMODEP,1,1,1
TZFJOUTA,1,1,1
BRNZIMDV,1,1,1
ATMZNLSJ,1,1,1
GJSZBWWI,1,1,1
YQKJNZHP,1,1,1
IIQBZQZY,1,1,1
JZQFDYAT,1,1,1
IVVSFZMY,1,1,1
QLJGIJMO,1,1,1
RMVODYQO,1,1,1
UNIVPUJB,1,1,1
QVORHWPE,1,1,1
LNQJUNIJ,1,1,1
SMPIPRCR,1,1,1
CWSVHNRA,1,1,1
MHKSCAXP,1,1,1
SFBVCUBR,1,1,1
RKKTPWQY,1,1,1
TCMCCBHI,1,1,1
TKMDJNQF,1,1,1
UONWAXEN,1,1,1
RXEWPBEQ,1,1,1
ISTZMOIC,1,1,1
BUZVRNOT,1,1,1
AZWUTZSM,1,1,1
IYBCHWPG,1,1,1
XUFUSYUA,1,1,1
ETQYYMZH,1,1,1
EJKVSNGF,1,1,1
OHTIBQFR,1,1,1
IGODXABC,1,1,1
BVBIRXYO,1,1,1
AYNXQBPZ,1,1,1
LUEREEYZ,1,1,1
GFXDYAXW,1,1,1
BCTEKFWG,1,1,1
WPMCGXXF,1,1,1
FUEPQROB,1,1,1
EDLBCKDK,1,1,1
WQFIZXFF,1,1,1
KUSRKPZX,1,1,1
UGIXMSHJ,1,1,1
CZGGFPVG,1,1,1
JDKNLFCE,1,1,1
IHUIXLIX,1,1,1
ZHESEFEQ,1,1,1
XPVIXYBV,1,1,1
JFAQPOCY,1,1,1
WSVFZDBH,1,1,1
FLDDUPPY,1,1,1
ZXCQNCIQ,1,1,1
QABYHFFY,1,1,1
ISCOILHP,1,1,1
GBQGTXJZ,1,1,1
JWZNFZEI,1,1,1
YSMSEEIH,1,1,1
UHYKIBWQ,1,1,1
FQPNRDMT,1,1,1
LFLOYORV,1,1,1
XIUXILHQ,1,1,1
UHITTKXN,1,1,1
TGQHSUUJ,1,1,1
YSPDKGIA,1,1,1
HRIKXTDE,1,1,1
JFEUBIYW,1,1,1
TDQOTVND,1,1,1
ZLAWNFYH,1,1,1
WRXQXZFO,1,1,1
ICNEBFOG,1,1,1
TBSZDFLL,1,1,1
LGXETXZQ,1,1,1
VFNJTBIW,1,1,1
RXLGWANR,1,1,1
GSBBUHIQ,1,1,1
TGHKBPJO,1,1,1
NOFOLLPP,1,1,1
KFPGRSJE,1,1,1
YZVGJCVC,1,1,1
NFLSHRBH,1,1,1
IGGZCAEJ,1,1,1
OZCQYZLK,1,1,1
FBQIVQLY,1,1,1
QVHEBTQX,1,1,1
UJKUWRYU,1,1,1
VNKJFNGB,1,1,1
YIRVZLQR,1,1,1
AWLHBMRB,1,1,1
QOKWLXKE,1,1,1
HHPSCGSG,1,1,1
PQTBAKQI,1,1,1
ITZBOCPP,1,1,1
UMXMWRTV,1,1,1
UKNOSHIR,1,1,1
LPPPPUGC,1,1,1
PEJCFNXT,1,1,1
BHNHQTER,1,1,1
SDHUEEJX,1,1,1
GLZIXLHH,1,1,1
RZOGSIVG,1,1,1
SVSASBMV,1,1,1
GJLDFCLR,1,1,1
ZNWRAASI,1,1,1
IFOJNQBA,1,1,1
HGDDPSRM,1,1,1
LZFPVYJQ,1,1,1
HJJMDGTV,1,1,1
RXBYJEHB,1,1,1
BHVRUDYD,1,1,1
VBLZFAUH,1,1,1
JYCSGMOV,1,1,1
LAVWTYFK,1,1,1
YKWAXAQK,1,1,1
XEJGDLBJ,1,1,1
PWZUXKKD,1,1,1
UGIZTJMR,1,1,1
MVCKISOK,1,1,1
RHWGNSEN,1,1,1
KYDSUSRO,1,1,1
MEEOTLMK,1,1,1
ANINOGDD,1,1,1
HFCFRMVZ,1,1,1
BSFSKLPS,1,1,1
NENOYNPY,1,1,1
TRSUTYER,1,1,1
CXOYZTXZ,1,1,1
ECNSHMTH,1,1,1
NXMQZCGB,1,1,1
ICEICSZN,1,1,1
LQXQERNI,1,1,1
HSJJIZXR,1,1,1
OORNWSOR,1,1,1
LVFTJRZE,1,1,1
JLUKQSLO,1,1,1
YETJERRH,1,1,1
LMEBHDMF,1,1,1
QRLPSUZO,1,1,1
MZUDHCAQ,1,1,1
ARHLCAEB,1,1,1
SRQXXXLH,1,1,1
UXRNDUXC,1,1,1
UBVSEOFA,1,1,1
ZCQHZUKE,1,1,1
MWXEBBSB,1,1,1
MTXEYXHE,1,1,1
BGDHNVJC,1,1,1
ECTCHVPM,1,1,1
NZBXPBFI,1,1,1
GSYXPDFP,1,1,1
PAONLDJH,1,1,1
