crew_id,AMS,RDZ,RNS
DVTNGPQT,1,1,1
JOGTNRGW,1,1,1
WQXNGDQR,1,1,1
OMVOTBOX,1,1,1
WEZECEYQ,1,1,1
ERHJHXKD,1,1,1
DUYAIAWD,1,1,1
TBQYKWVL,1,1,1
XATNDIBX,1,1,1
FSOEIMLQ,1,1,1
LKMLMHDO,1,1,1
JXZBDSVM,1,1,1
DHOWSKGF,1,1,1
LLQKCKUJ,1,1,1
QAVRQIHV,1,1,1
FHIGJSKW,1,1,1
IPMTOXVT,1,1,1
IHJIGLNZ,1,1,1
TWKBMJJN,1,1,1
WGYFQCGN,1,1,1
HLPEKLGP,1,1,1
KNPPCVJQ,1,1,1
WYLANWHB,1,1,1
SNZFGTQV,1,1,1
OHOILDLW,1,1,1
SFGELWKW,1,1,1
IQSGBGCN,1,1,1
LXUOCUJZ,1,1,1
QUKTEXRV,1,1,1
UOTAFMFT,1,1,1
DRNDYAFT,1,1,1
RYJPIMUH,1,1,1
UZNEDUSZ,1,1,1
ZNBVKYJJ,1,1,1
IZFBIAPO,1,1,1
MRWKRVMP,1,1,1
PGUKLEAW,1,1,1
SRDKKGDF,1,1,1
XXOBKXQP,1,1,1
WBFIDPBL,1,1,1
KNIMOTOW,1,1,1
NGYRLYMN,1,1,1
JSIXICHV,1,1,1
SXZYZGYG,1,1,1
IOGTMWLT,1,1,1
OFIOONDE,1,1,1
ATWDKCTC,1,1,1
RWOJMTOI,1,1,1
YWUAHFIS,1,1,1
VNXZPMJP,1,1,1
FAPXFMSO,1,1,1
ZOKCHSNC,1,1,1
MRUFEUKG,1,1,1
APXCKZFR,1,1,1
RZPJTUMC,1,1,1
ULZEMDEO,1,1,1
RLUBPTNT,1,1,1
UEXPVQQP,1,1,1
QSJWXWLP,1,1,1
SZVDAXCH,1,1,1
IMLODOHP,1,1,1
ZHTYTGKZ,1,1,1
DNOFOASO,1,1,1
PBKXMXQM,1,1,1
KBZAHCKM,1,1,1
YJOFUWLJ,1,1,1
CBQVGYKM,1,1,1
RFIWCGQR,1,1,1
RNGRPDHD,1,1,1
QBXKQUMR,1,1,1
HBKEWFVG,1,1,1
TNWPXYZC,1,1,1
WIPICYTN,1,1,1
PSHJRQGG,1,1,1
IOIXNYAZ,1,1,1
XFDGYBGN,1,1,1
DXTHOTAD,1,1,1
CKWURMMA,1,1,1
OJZZHCQS,1,1,1
OSCQKUUR,1,1,1
OVYEITVY,1,1,1
DKDGWQZI,1,1,1
JMMPXHGJ,1,1,1
PEULCLOM,1,1,1
KYWEODEB,1,1,1
JXEHINAM,1,1,1
OMHKDQJZ,1,1,1
AKTTOVCW,1,1,1
QGJXKTYY,1,1,1
AGHGBLFN,1,1,1
OMRFTCNF,1,1,1
QUGIASCK,1,1,1
EPAZZMZG,1,1,1
DTYGXBAU,1,1,1
JPZTLLWZ,1,1,1
PDYNOVCC,1,1,1
XWQSDNVN,1,1,1
VEPNOXYB,1,1,1
RVJOMTLC,1,1,1
LXVBMSML,1,1,1
VNVDXLKJ,1,1,1
LWLFMHZC,1,1,1
EBFQFMZI,1,1,1
ZAMZDFBP,1,1,1
WKSIREFP,1,1,1
FAHHEQSJ,1,1,1
UMAAXIPN,1,1,1
FKCZTILL,1,1,1
KAVFQNPE,1,1,1
LJJTEPEX,1,1,1
VELRQDJR,1,1,1
UQABTNBB,1,1,1
MTCHPDAM,1,1,1
FUOOMSPP,1,1,1
GTSQQNZL,1,1,1
WGSLVQAZ,1,1,1
FYJEYMEY,1,1,1
GBWWCXJM,1,1,1
SJQOOFRU,1,1,1
DPQKOSET,1,1,1
OKPFEXJE,1,1,1
REJYDCHV,1,1,1
LVHPZLCC,1,1,1
HJIQAKKX,1,1,1
TVZNBSVB,1,1,1
ONBBRYZT,1,1,1
VJZSYBNN,1,1,1
DOJRYMZE,1,1,1
CVEVMWWE,1,1,1
POXEBRSZ,1,1,1
YXERTLRV,1,1,1
FGENJRIL,1,1,1
MQBDCXPX,1,1,1
UZMFLCNF,1,1,1
HBIKAWPW,1,1,1
LHLCOBRM,1,1,1
DEBHOMIH,1,1,1
VGDLTSPG,1,1,1
CUZWFDFC,1,1,1
GKLFKTDT,1,1,1
ZUUBPUCN,1,1,1
MHTCLAJD,1,1,1
XODSJPHI,1,1,1
HKXJALMN,1,1,1
HTMDJVLK,1,1,1
YWIXIAVW,1,1,1
ZKPRRYJU,1,1,1
WYLSNMUB,1,1,1
UTZTHRVR,1,1,1
YZZKVWSV,1,1,1
EZPXDNBI,1,1,1
RZDASWOP,1,1,1
DTTOGLZO,1,1,1
KFXQFERH,1,1,1
QLKAUUIK,1,1,1
DNNAIXYI,1,1,1
IJMSXNGU,1,1,1
EWNWNPVN,1,1,1
EQEKKVRY,1,1,1
VMONRMEN,1,1,1
PHDETAUR,1,1,1
HCJLLHRI,1,1,1
JCACJDRD,1,1,1
FQAHTXAQ,1,1,1
RVTLLCUG,1,1,1
DEQKKXGQ,1,1,1
HBIPWAUD,1,1,1
XMXJBUHK,1,1,1
ZMZUVUTW,1,1,1
FTVOURYJ,1,1,1
QIUDJMYK,1,1,1
GHLOBKNG,1,1,1
JZQHBKKW,1,1,1
VVHXTHMI,1,1,1
YCYIQMFE,1,1,1
ACTDTITU,1,1,1
BLPAMTGY,1,1,1
HQDJYOTY,1,1,1
SNDWSRNO,1,1,1
NSHMEFLH,1,1,1
FTMAFNLT,1,1,1
HGQDTHBM,1,1,1
YOWDWNEL,1,1,1
ODTDSIOT,1,1,1
PXOBCZAA,1,1,1
OAGXRARV,1,1,1
YOCRVQUK,1,1,1
JRMDLQCZ,1,1,1
ESVVEDJR,1,1,1
IVKXYFKA,1,1,1
GWNDDBFF,1,1,1
BBMUOSUH,1,1,1
ATKOJTXP,1,1,1
HIVOKCIK,1,1,1
ORQHMEJZ,1,1,1
EQVOCDPW,1,1,1
NHQZPBJC,1,1,1
TZITNLPI,1,1,1
MVZSFPSE,1,1,1
IKTHENBS,1,1,1
JMQKJWCL,1,1,1
UOQKXAXE,1,1,1
TCICOOCD,1,1,1
BNEXOJWT,1,1,1
ENCOOCRZ,1,1,1
DSLTUCQJ,1,1,1
WDYVLIOX,1,1,1
BJHZIJNS,1,1,1
STBVSTIZ,1,1,1
QQAQJORB,1,1,1
LLYBUOGB,1,1,1
IHHVUBEG,1,1,1
SOAMDPCG,1,1,1
IHGOTETO,1,1,1
FZVPFGDR,1,1,1
OTGLTTJU,1,1,1
LPWYMHAZ,1,1,1
NEQOIBKP,1,1,1
KRSGBQFO,1,1,1
KSNUJVVD,1,1,1
MQRULCXF,1,1,1
MBJGWOLI,1,1,1
GNUZTTCM,1,1,1
SAHUEJUB,1,1,1
YHFIYHGJ,1,1,1
ZJCNPRUV,1,1,1
JVQNQQPF,1,1,1
MZDSLZDF,1,1,1
UDOCETNJ,1,1,1
