from,to,type,distance
AJA,AMS,C,120
AJA,AVN,D,60
AJA,BES,D,125
AJA,BIA,D,40
AJA,BIQ,D,95
AJA,BOD,D,95
AJA,CDG,D,100
AJA,CFE,D,80
AJA,CFR,D,115
AJA,CLY,D,35
AJA,ETZ,D,95
AJA,FSC,D,35
AJA,LDE,D,85
AJA,LEH,D,115
AJA,LGW,D,125
AJA,LIG,D,90
AJA,LIL,D,110
AJA,LRT,D,120
AJA,LYS,D,95
AJA,MLH,D,80
AJA,MPL,D,65
AJA,MRS,D,55
AJA,NCE,D,55
AJA,NTE,D,110
AJA,ORY,D,100
AJA,PGF,D,70
AJA,PUF,D,90
AJA,RDZ,D,75
AJA,RNS,D,115
AJA,SXB,D,90
AJA,TLN,D,50
AJA,TLS,D,80
AJA,UIP,D,125
AJA,URO,D,110
AMS,AJA,C,120
AMS,AVN,C,105
AMS,BES,C,90
AMS,BIA,C,120
AMS,BIQ,C,115
AMS,BOD,C,110
AMS,CDG,C,60
AMS,CFE,C,90
AMS,CFR,C,70
AMS,CLY,C,115
AMS,ETZ,C,60
AMS,FSC,C,125
AMS,LDE,C,115
AMS,LEH,C,65
AMS,LGW,C,60
AMS,LIG,C,90
AMS,LIL,C,50
AMS,LRT,C,90
AMS,LYS,C,85
AMS,MLH,C,75
AMS,MPL,C,105
AMS,MRS,C,105
AMS,NCE,C,105
AMS,NTE,C,90
AMS,ORY,C,65
AMS,PGF,C,115
AMS,PUF,C,115
AMS,RDZ,C,100
AMS,RNS,C,80
AMS,SXB,C,65
AMS,TLN,C,110
AMS,TLS,C,115
AMS,UIP,C,95
AMS,URO,C,65
AVN,AJA,D,60
AVN,AMS,C,105
AVN,BES,D,100
AVN,BIA,D,60
AVN,BIQ,D,70
AVN,BOD,D,65
AVN,CDG,D,75
AVN,CFE,D,50
AVN,CFR,D,85
AVN,CLY,D,60
AVN,ETZ,D,75
AVN,FSC,D,65
AVN,LDE,D,65
AVN,LEH,D,85
AVN,LGW,D,100
