crew_id,MLH,ORY,URO
HEDSVDMV,1,1,1
UKMOUMRO,1,1,1
IWDMXVPJ,1,1,1
MQSXMRSS,1,1,1
SBHPDEFE,1,1,1
SFPLNWAR,1,1,1
IJMVRIRO,1,1,1
CTWUKPWT,1,1,1
FLJJZHZX,1,1,1
UOXSQWXC,1,1,1
SAMGJJJF,1,1,1
ROHKAYWX,1,1,1
LVDAHXED,1,1,1
PINVXKJY,1,1,1
RUVWWWIW,1,1,1
MOFHEURO,1,1,1
MBDBHVHJ,1,1,1
GQQUZXTW,1,1,1
RCWPMMRL,1,1,1
HFYLTKPK,1,1,1
INSSRXIY,1,1,1
VFDCIPZE,1,1,1
JSVPGATI,1,1,1
ISJIQHEL,1,1,1
RJUXLRIJ,1,1,1
KWTVINXP,1,1,1
YRZOMNYE,1,1,1
ORLAOLXO,1,1,1
NPZPJFQJ,1,1,1
XAKSVVRA,1,1,1
VPBYMQPN,1,1,1
IYDXQVRR,1,1,1
HKLQOQGY,1,1,1
TFGNHXIG,1,1,1
FEFKIHLX,1,1,1
PJEULVMU,1,1,1
VHVARQUW,1,1,1
SRKZQKKD,1,1,1
PUIOQYKQ,1,1,1
GSFHPLNQ,1,1,1
QITTECKD,1,1,1
NAZFDMUY,1,1,1
YEIRENLP,1,1,1
ENDFEMUA,1,1,1
ADJOAJBG,1,1,1
RYNQKGVE,1,1,1
QJMEWAKJ,1,1,1
RUKXBDIF,1,1,1
NMDENESV,1,1,1
NTYAFVJU,1,1,1
WZZGNSZR,1,1,1
HSXWXIFE,1,1,1
NQLZLJQR,1,1,1
PMJDGWVZ,1,1,1
ITWCLSAA,1,1,1
UNBFXIEK,1,1,1
XMQMRVQP,1,1,1
MGIUQQBA,1,1,1
ZHZBGWXP,1,1,1
PAVKLJWZ,1,1,1
KXGSQFSS,1,1,1
CVTYHWYV,1,1,1
QZXMDQWX,1,1,1
XPSWPAAF,1,1,1
RMPEZVOX,1,1,1
LWQYWMPQ,1,1,1
VKXKQMXT,1,1,1
ZNWPKRUF,1,1,1
PCVIWARJ,1,1,1
ZNTKGPDZ,1,1,1
UZMHAKJD,1,1,1
RFCZDVJA,1,1,1
YIMULYJB,1,1,1
RCJHLMDM,1,1,1
IMLCSJYF,1,1,1
MEUFNVTC,1,1,1
VNFYBSCV,1,1,1
IMCRZCMS,1,1,1
