aircraft,cap_first,cap_business,cap_economic
A318#1,0, 0, 123
A318#2,0, 0, 123
A318#3,0, 0, 123
A318#4,0, 0, 123
A318#5,0, 0, 123
A318#6,0, 0, 123
A318#7,0, 0, 123
A318#8,0, 0, 123
A319#1,0, 28, 51
A319#2,0, 0, 142
A319#3,0, 0, 142
A319#4,0, 0, 138
A319#5,0, 0, 142
A319#6,0, 0, 142
A319#7,0, 0, 142
A319#8,0, 0, 142
A319#9,0, 0, 138
A319#10,0, 0, 138
A319#11,0, 0, 142
A319#12,0, 0, 142
A319#13,0, 28, 51
A319#14,0, 0, 142
A319#15,0, 0, 138
A319#16,0, 28, 51
A319#17,0, 0, 138
A319#18,0, 28, 51
A320#1,0, 0, 172
A320#2,0, 0, 172
A320#3,0, 0, 172
A320#4,0, 0, 165
A320#5,0, 0, 165
A320#6,0, 0, 165
A320#7,0, 0, 172
A320#8,0, 0, 172
A320#9,0, 0, 172
A320#10,0, 0, 172
A320#11,0, 0, 172
A320#12,0, 0, 172
A320#13,0, 0, 172
A320#14,0, 0, 172
A320#15,0, 0, 172
A320#16,0, 0, 165
A320#17,0, 0, 172
A320#18,0, 0, 165
A320#19,0, 0, 172
A320#20,0, 0, 165
A320#21,0, 0, 165
A320#22,0, 0, 165
A320#23,0, 0, 172
A320#24,0, 0, 165
A321#1,0, 0, 206
A321#2,0, 0, 206
A321#3,0, 0, 206
A321#4,0, 0, 206
A321#5,0, 0, 206
BAE200#1,0, 0, 94
BAE200#2,0, 0, 94
BAE200#3,0, 0, 94
BAE300#1,0, 0, 100
BAE300#2,0, 0, 100
BAE300#3,0, 0, 100
CRJ100#1,0, 0, 50
CRJ100#2,0, 0, 50
CRJ100#3,0, 0, 50
CRJ100#4,0, 0, 50
CRJ700#1,0, 0, 72
CRJ700#2,0, 0, 72
CRJ700#3,0, 0, 72
ERJ135#1,0, 0, 37
ERJ135#2,0, 0, 37
ERJ145#1,0, 0, 50
ERJ145#2,0, 0, 50
ERJ145#3,0, 0, 50
ERJ145#4,0, 0, 50
ERJ145#5,0, 0, 50
F100#1,0, 0, 100
F100#2,0, 0, 100
F100#3,0, 0, 100
F100#4,0, 0, 100
F100#5,0, 0, 100
F100#6,0, 0, 100
TranspCom#1,-1, -1, -1
TranspCom#2,-1, -1, -1
TranspCom#3,-1, -1, -1
TranspCom#4,-1, -1, -1
