airport,incomming,outgoing,changing_comp,min_con_time
AJA,D,D,0,25
AJA,D,D,1,30
AJA,D,C,0,25
AJA,D,C,1,30
AJA,D,I,0,30
AJA,D,I,1,35
AJA,C,D,0,25
AJA,C,D,1,30
AJA,C,C,0,25
AJA,C,C,1,30
AJA,C,I,0,30
AJA,C,I,1,35
AJA,I,D,0,30
AJA,I,D,1,35
AJA,I,C,0,30
AJA,I,C,1,35
AJA,I,I,0,30
AJA,I,I,1,35
AMS,D,D,0,25
AMS,D,D,1,30
AMS,D,C,0,25
AMS,D,C,1,30
AMS,D,I,0,30
AMS,D,I,1,35
AMS,C,D,0,25
AMS,C,D,1,30
AMS,C,C,0,25
AMS,C,C,1,30
AMS,C,I,0,30
AMS,C,I,1,35
AMS,I,D,0,30
AMS,I,D,1,35
AMS,I,C,0,30
AMS,I,C,1,35
AMS,I,I,0,30
AMS,I,I,1,35
AVN,D,D,0,25
AVN,D,D,1,30
AVN,D,C,0,25
AVN,D,C,1,30
AVN,D,I,0,30
AVN,D,I,1,35
AVN,C,D,0,25
AVN,C,D,1,30
AVN,C,C,0,25
AVN,C,C,1,30
AVN,C,I,0,30
AVN,C,I,1,35
AVN,I,D,0,30
AVN,I,D,1,35
AVN,I,C,0,30
AVN,I,C,1,35
AVN,I,I,0,30
AVN,I,I,1,35
BES,D,D,0,25
BES,D,D,1,30
BES,D,C,0,25
BES,D,C,1,30
BES,D,I,0,30
BES,D,I,1,35
BES,C,D,0,25
BES,C,D,1,30
BES,C,C,0,25
BES,C,C,1,30
BES,C,I,0,30
BES,C,I,1,35
BES,I,D,0,30
BES,I,D,1,35
BES,I,C,0,30
BES,I,C,1,35
BES,I,I,0,30
BES,I,I,1,35
BIA,D,D,0,25
BIA,D,D,1,30
BIA,D,C,0,25
BIA,D,C,1,30
BIA,D,I,0,30
BIA,D,I,1,35
BIA,C,D,0,25
BIA,C,D,1,30
BIA,C,C,0,25
BIA,C,C,1,30
BIA,C,I,0,30
BIA,C,I,1,35
BIA,I,D,0,30
BIA,I,D,1,35
BIA,I,C,0,30
BIA,I,C,1,35
BIA,I,I,0,30
BIA,I,I,1,35
BIQ,D,D,0,25
BIQ,D,D,1,30
BIQ,D,C,0,25
BIQ,D,C,1,30
BIQ,D,I,0,30
BIQ,D,I,1,35
BIQ,C,D,0,25
BIQ,C,D,1,30
BIQ,C,C,0,25
BIQ,C,C,1,30
BIQ,C,I,0,30
BIQ,C,I,1,35
BIQ,I,D,0,30
BIQ,I,D,1,35
BIQ,I,C,0,30
BIQ,I,C,1,35
BIQ,I,I,0,30
BIQ,I,I,1,35
BOD,D,D,0,25
BOD,D,D,1,30
BOD,D,C,0,25
BOD,D,C,1,30
BOD,D,I,0,30
BOD,D,I,1,35
BOD,C,D,0,25
BOD,C,D,1,30
BOD,C,C,0,25
BOD,C,C,1,30
BOD,C,I,0,30
BOD,C,I,1,35
BOD,I,D,0,30
BOD,I,D,1,35
BOD,I,C,0,30
BOD,I,C,1,35
BOD,I,I,0,30
BOD,I,I,1,35
CDG,D,D,0,25
CDG,D,D,1,30
CDG,D,C,0,25
CDG,D,C,1,30
CDG,D,I,0,30
CDG,D,I,1,35
CDG,C,D,0,25
