crew_id,AMS,BIQ,BOD,MLH,RNS
NYTLCHZY,1,1,1,1,1
OKLSWUQR,1,1,1,1,1
WPDSISFO,1,1,1,1,1
UUMSGKGH,1,1,1,1,1
OWLYHRJM,1,1,1,1,1
DZNHIFYD,1,1,1,1,1
ZWBKGEYN,1,1,1,1,1
UEHCPRTD,1,1,1,1,1
YTLCJGXI,1,1,1,1,1
QODMXJLO,1,1,1,1,1
TUDDWJNQ,1,1,1,1,1
SSGEAIBX,1,1,1,1,1
CKFNKUXJ,1,1,1,1,1
HQRVVBSV,1,1,1,1,1
PVKPUJEI,1,1,1,1,1
IELMPBMI,1,1,1,1,1
QAQSPZLV,1,1,1,1,1
EKVHBFIN,1,1,1,1,1
IXVHYYXX,1,1,1,1,1
RTZFKCJG,1,1,1,1,1
FIGGCTER,1,1,1,1,1
QEDKDGTF,1,1,1,1,1
XWMQYEFY,1,1,1,1,1
PLCWUFPS,1,1,1,1,1
LNQTGHVH,1,1,1,1,1
HZLDFNOZ,1,1,1,1,1
YWXIZWLL,1,1,1,1,1
WFGSFUJS,1,1,1,1,1
CGHFEWYA,1,1,1,1,1
CLHTUYWA,1,1,1,1,1
RMNJULKE,1,1,1,1,1
BDRXFXRP,1,1,1,1,1
KSSSWGJQ,1,1,1,1,1
GHALCWYG,1,1,1,1,1
KUVPLDZQ,1,1,1,1,1
ODCPUAHK,1,1,1,1,1
ASPWYBHD,1,1,1,1,1
WAYAYTBE,1,1,1,1,1
DGLHUEBY,1,1,1,1,1
JDERCSTV,1,1,1,1,1
LOUNHINW,1,1,1,1,1
BRVWRAWZ,1,1,1,1,1
PYMKLHXJ,1,1,1,1,1
CMZPANZE,1,1,1,1,1
IPJOGBSF,1,1,1,1,1
ZGQUVUSY,1,1,1,1,1
JCBUINGY,1,1,1,1,1
PMLTUTYZ,1,1,1,1,1
RXYOYXTR,1,1,1,1,1
LBCIUEKK,1,1,1,1,1
UITHBSDK,1,1,1,1,1
ETQWNYAS,1,1,1,1,1
CMHASCPB,1,1,1,1,1
FXBLNYXI,1,1,1,1,1
GUUABOOL,1,1,1,1,1
CLPJKBKW,1,1,1,1,1
DMOGXIYJ,1,1,1,1,1
NEMWFMUX,1,1,1,1,1
AXPZJVJI,1,1,1,1,1
BYWVMHEL,1,1,1,1,1
TWMLXPJY,1,1,1,1,1
KNYTFNRJ,1,1,1,1,1
GEZLEMWD,1,1,1,1,1
CLBWDHFL,1,1,1,1,1
MLCSMUEV,1,1,1,1,1
SWAFQAMS,1,1,1,1,1
FJESPDDE,1,1,1,1,1
JJAROJIO,1,1,1,1,1
EKOLFJHT,1,1,1,1,1
CTXBAEKM,1,1,1,1,1
JDAFWLLJ,1,1,1,1,1
BTHUOBNC,1,1,1,1,1
AWDLAQDS,1,1,1,1,1
RLUZUBJQ,1,1,1,1,1
WHMLEZXQ,1,1,1,1,1
YMJNTQPP,1,1,1,1,1
YVWQWXUP,1,1,1,1,1
KXBJSGMB,1,1,1,1,1
GUFJADUA,1,1,1,1,1
SVDKVRBK,1,1,1,1,1
FZLAANRZ,1,1,1,1,1
PERYPIWU,1,1,1,1,1
FQPAVUQM,1,1,1,1,1
FVBAAFPJ,1,1,1,1,1
NQXRGPPX,1,1,1,1,1
LNSGNHKS,1,1,1,1,1
GYWSOHCN,1,1,1,1,1
IWIFPQOJ,1,1,1,1,1
BAISMXIM,1,1,1,1,1
FGHEVOTA,1,1,1,1,1
ZFBWLJEO,1,1,1,1,1
PESRMDQG,1,1,1,1,1
HNZODQFF,1,1,1,1,1
FIUCCYXQ,1,1,1,1,1
FDNPVGDL,1,1,1,1,1
GTDQVAWS,1,1,1,1,1
BLLVSBFK,1,1,1,1,1
DBWLGCZD,1,1,1,1,1
AHRZAJPJ,1,1,1,1,1
PIXMXHVH,1,1,1,1,1
DDOJQHCI,1,1,1,1,1
JLVAGSZL,1,1,1,1,1
WBQQKNEA,1,1,1,1,1
BDMRLPGC,1,1,1,1,1
LLVVDHFI,1,1,1,1,1
JEUBUZAX,1,1,1,1,1
QCIWFNPF,1,1,1,1,1
PTMLXTMQ,1,1,1,1,1
KPANPVZA,1,1,1,1,1
KQWOXFZK,1,1,1,1,1
UDSLXGRX,1,1,1,1,1
XRQFVWJE,1,1,1,1,1
NCRWMAWF,1,1,1,1,1
UQDAQPHD,1,1,1,1,1
PKINAWHF,1,1,1,1,1
XBHBYUVB,1,1,1,1,1
BMPEBJXY,1,1,1,1,1
TIGPJOAZ,1,1,1,1,1
SSICANOT,1,1,1,1,1
FONMZZVC,1,1,1,1,1
YUXDLHWX,1,1,1,1,1
