registration,model,family,position,owned
A318#1,A318,Airbus,CFE,1
A318#2,A318,Airbus,ETZ,1
A318#3,A318,Airbus,NTE,1
A318#4,A318,Airbus,NCE,1
A318#5,A318,Airbus,ORY,1
A318#6,A318,Airbus,BOD,1
A318#7,A318,Airbus,BIQ,1
A318#8,A318,Airbus,ORY,1
A319#1,A319,Airbus,BES,1
A319#2,A319,Airbus,PUF,1
A319#3,A319,Airbus,MPL,1
A319#4,A319,Airbus,CDG,1
A319#5,A319,Airbus,ORY,1
A319#6,A319,Airbus,TLN,1
A319#7,A319,Airbus,ORY,1
A319#8,A319,Airbus,SXB,1
A319#9,A319,Airbus,ORY,1
A319#10,A319,Airbus,TLS,1
A319#11,A319,Airbus,ORY,1
A319#12,A319,Airbus,ORY,1
A319#13,A319,Airbus,ORY,1
A319#14,A319,Airbus,ORY,1
A319#15,A319,Airbus,MPL,1
A319#16,A319,Airbus,MRS,1
A319#17,A319,Airbus,CDG,1
A319#18,A319,Airbus,LYS,1
A320#1,A320,Airbus,BES,1
A320#2,A320,Airbus,AJA,1
A320#3,A320,Airbus,BIA,1
A320#4,A320,Airbus,MLH,1
A320#5,A320,Airbus,MRS,1
A320#6,A320,Airbus,NTE,1
A320#7,A320,Airbus,TLS,1
A320#8,A320,Airbus,ORY,1
A320#9,A320,Airbus,ORY,1
A320#10,A320,Airbus,TLS,1
A320#11,A320,Airbus,TLS,1
A320#12,A320,Airbus,BIQ,1
A320#13,A320,Airbus,SXB,1
A320#14,A320,Airbus,LIG,1
A320#15,A320,Airbus,MLH,1
A320#16,A320,Airbus,BOD,1
A320#17,A320,Airbus,MRS,1
A320#18,A320,Airbus,BOD,1
A320#19,A320,Airbus,ORY,1
A320#20,A320,Airbus,NTE,1
A320#21,A320,Airbus,MRS,1
A320#22,A320,Airbus,NCE,1
A320#23,A320,Airbus,MRS,1
A320#24,A320,Airbus,NCE,1
A321#1,A321,Airbus,TLS,1
A321#2,A321,Airbus,LYS,1
A321#3,A321,Airbus,CDG,1
A321#4,A321,Airbus,CDG,1
A321#5,A321,Airbus,MPL,1
BAE200#1,BAE200,BAE,RDZ,1
BAE200#2,BAE200,BAE,RNS,1
BAE200#3,BAE200,BAE,LRT,1
BAE300#1,BAE300,BAE,LIG,1
BAE300#2,BAE300,BAE,UIP,1
BAE300#3,BAE300,BAE,SXB,1
CRJ100#1,CRJ100,CRJ,TLS,1
CRJ100#2,CRJ100,CRJ,LIL,1
CRJ100#3,CRJ100,CRJ,RNS,1
CRJ100#4,CRJ100,CRJ,BOD,1
CRJ700#1,CRJ700,CRJ,TLS,1
CRJ700#2,CRJ700,CRJ,RNS,1
CRJ700#3,CRJ700,CRJ,NCE,1
ERJ135#1,ERJ135,ERJ,FSC,1
ERJ135#2,ERJ135,ERJ,LEH,1
ERJ145#1,ERJ145,ERJ,AVN,1
ERJ145#2,ERJ145,ERJ,LDE,1
ERJ145#3,ERJ145,ERJ,CFE,1
ERJ145#4,ERJ145,ERJ,CFR,1
ERJ145#5,ERJ145,ERJ,NCE,1
F100#1,F100,Fokker,BES,1
F100#2,F100,Fokker,SXB,1
F100#3,F100,Fokker,NTE,1
F100#4,F100,Fokker,BES,1
F100#5,F100,Fokker,PUF,1
F100#6,F100,Fokker,RNS,1
TranspCom#1,TranspCom,TranspCom,CDG,0
TranspCom#2,TranspCom,TranspCom,CDG,0
TranspCom#3,TranspCom,TranspCom,ORY,0
TranspCom#4,TranspCom,TranspCom,ORY,0
