crew_id,code,type,leg_id,rank,start,finish,airport,pairing
SQUZXEUQ,code,L,70002597,CP,2006-01-07T04:00,2006-01-07T05:20,LEH,1501688522
SQUZXEUQ,code,L,70002598,CP,2006-01-07T05:40,2006-01-07T07:00,URO,1501688522
SQUZXEUQ,code,L,70002599,CP,2006-01-07T07:40,2006-01-07T09:10,LYS,1501688522
SQUZXEUQ,code,L,70002600,CP,2006-01-07T09:30,2006-01-07T09:50,LEH,1501688522
SQUZXEUQ,code,L,70002601,CP,2006-01-07T15:00,2006-01-07T15:20,URO,1501688522
SQUZXEUQ,code,L,70002602,CP,2006-01-07T15:40,2006-01-07T17:10,LEH,1501688522
SQUZXEUQ,code,L,70002603,CP,2006-01-07T17:50,2006-01-07T19:10,LYS,1501688522
SQUZXEUQ,code,L,70002604,CP,2006-01-07T19:30,2006-01-07T20:35,URO,1501688522
TMTBPOGJ,code,L,70002597,FO,2006-01-07T04:00,2006-01-07T05:20,LEH,1501688522
TMTBPOGJ,code,L,70002598,FO,2006-01-07T05:40,2006-01-07T07:00,URO,1501688522
TMTBPOGJ,code,L,70002599,FO,2006-01-07T07:40,2006-01-07T09:10,LYS,1501688522
TMTBPOGJ,code,L,70002600,FO,2006-01-07T09:30,2006-01-07T09:50,LEH,1501688522
TMTBPOGJ,code,L,70002601,FO,2006-01-07T15:00,2006-01-07T15:20,URO,1501688522
TMTBPOGJ,code,L,70002602,FO,2006-01-07T15:40,2006-01-07T17:10,LEH,1501688522
TMTBPOGJ,code,L,70002603,FO,2006-01-07T17:50,2006-01-07T19:10,LYS,1501688522
TMTBPOGJ,code,L,70002604,FO,2006-01-07T19:30,2006-01-07T20:35,URO,1501688522
VLVDDKYH,code,L,70002597,CS,2006-01-07T04:00,2006-01-07T05:20,LEH,1501688522
VLVDDKYH,code,L,70002598,CS,2006-01-07T05:40,2006-01-07T07:00,URO,1501688522
VLVDDKYH,code,L,70002599,CS,2006-01-07T07:40,2006-01-07T09:10,LYS,1501688522
VLVDDKYH,code,L,70002600,CS,2006-01-07T09:30,2006-01-07T09:50,LEH,1501688522
VLVDDKYH,code,L,70002601,CS,2006-01-07T15:00,2006-01-07T15:20,URO,1501688522
VLVDDKYH,code,L,70002602,CS,2006-01-07T15:40,2006-01-07T17:10,LEH,1501688522
VLVDDKYH,code,L,70002603,CS,2006-01-07T17:50,2006-01-07T19:10,LYS,1501688522
VLVDDKYH,code,L,70002604,CS,2006-01-07T19:30,2006-01-07T20:35,URO,1501688522
MLXWMOOB,code,L,70002597,ST,2006-01-07T04:00,2006-01-07T05:20,LEH,1501688522
MLXWMOOB,code,L,70002598,ST,2006-01-07T05:40,2006-01-07T07:00,URO,1501688522
MLXWMOOB,code,L,70002599,ST,2006-01-07T07:40,2006-01-07T09:10,LYS,1501688522
MLXWMOOB,code,L,70002600,ST,2006-01-07T09:30,2006-01-07T09:50,LEH,1501688522
MLXWMOOB,code,L,70002601,ST,2006-01-07T15:00,2006-01-07T15:20,URO,1501688522
MLXWMOOB,code,L,70002602,ST,2006-01-07T15:40,2006-01-07T17:10,LEH,1501688522
MLXWMOOB,code,L,70002603,ST,2006-01-07T17:50,2006-01-07T19:10,LYS,1501688522
MLXWMOOB,code,L,70002604,ST,2006-01-07T19:30,2006-01-07T20:35,URO,1501688522
CMZKKAKI,code,L,70002597,ST,2006-01-07T04:00,2006-01-07T05:20,LEH,1501688522
CMZKKAKI,code,L,70002598,ST,2006-01-07T05:40,2006-01-07T07:00,URO,1501688522
CMZKKAKI,code,L,70002599,ST,2006-01-07T07:40,2006-01-07T09:10,LYS,1501688522
CMZKKAKI,code,L,70002600,ST,2006-01-07T09:30,2006-01-07T09:50,LEH,1501688522
CMZKKAKI,code,L,70002601,ST,2006-01-07T15:00,2006-01-07T15:20,URO,1501688522
CMZKKAKI,code,L,70002602,ST,2006-01-07T15:40,2006-01-07T17:10,LEH,1501688522
CMZKKAKI,code,L,70002603,ST,2006-01-07T17:50,2006-01-07T19:10,LYS,1501688522
CMZKKAKI,code,L,70002604,ST,2006-01-07T19:30,2006-01-07T20:35,URO,1501688522
IATOYJBH,code,L,70002597,ST,2006-01-07T04:00,2006-01-07T05:20,LEH,1501688522
IATOYJBH,code,L,70002598,ST,2006-01-07T05:40,2006-01-07T07:00,URO,1501688522
IATOYJBH,code,L,70002599,ST,2006-01-07T07:40,2006-01-07T09:10,LYS,1501688522
IATOYJBH,code,L,70002600,ST,2006-01-07T09:30,2006-01-07T09:50,LEH,1501688522
IATOYJBH,code,L,70002601,ST,2006-01-07T15:00,2006-01-07T15:20,URO,1501688522
IATOYJBH,code,L,70002602,ST,2006-01-07T15:40,2006-01-07T17:10,LEH,1501688522
IATOYJBH,code,L,70002603,ST,2006-01-07T17:50,2006-01-07T19:10,LYS,1501688522
IATOYJBH,code,L,70002604,ST,2006-01-07T19:30,2006-01-07T20:35,URO,1501688522
XXWDWPHY,code,L,70005123,CP,2006-01-07T04:05,2006-01-07T07:20,TLS,2138821259
XXWDWPHY,code,L,70005124,CP,2006-01-07T08:25,2006-01-07T11:05,AMS,2138821259
FZICTRSL,code,L,70005123,FO,2006-01-07T04:05,2006-01-07T07:20,TLS,2138821259
FZICTRSL,code,L,70005124,FO,2006-01-07T08:25,2006-01-07T11:05,AMS,2138821259
FFQJPKXB,code,L,70005123,CSD,2006-01-07T04:05,2006-01-07T07:20,TLS,2138821259
FFQJPKXB,code,L,70005124,CSD,2006-01-07T08:25,2006-01-07T11:05,AMS,2138821259
MRXERQMV,code,L,70005123,ST,2006-01-07T04:05,2006-01-07T07:20,TLS,2138821259
MRXERQMV,code,L,70005124,ST,2006-01-07T08:25,2006-01-07T11:05,AMS,2138821259
QAUQHGAL,code,L,70005123,ST,2006-01-07T04:05,2006-01-07T07:20,TLS,2138821259
QAUQHGAL,code,L,70005124,ST,2006-01-07T08:25,2006-01-07T11:05,AMS,2138821259
YRFWELWK,code,L,70004600,CP,2006-01-07T04:25,2006-01-07T06:45,BES,1464848243
YRFWELWK,code,L,70004599,CP,2006-01-07T09:30,2006-01-07T11:30,CDG,1464848243
BSSNFFDK,code,L,70004600,FO,2006-01-07T04:25,2006-01-07T06:45,BES,1464848243
BSSNFFDK,code,L,70004599,FO,2006-01-07T09:30,2006-01-07T11:30,CDG,1464848243
ZYTSWFAP,code,L,70004600,CSD,2006-01-07T04:25,2006-01-07T06:45,BES,1464848243
ZYTSWFAP,code,L,70004599,CSD,2006-01-07T09:30,2006-01-07T11:30,CDG,1464848243
PIVSADWO,code,L,70004600,CSD,2006-01-07T04:25,2006-01-07T06:45,BES,1464848243
PIVSADWO,code,L,70004599,CSD,2006-01-07T09:30,2006-01-07T11:30,CDG,1464848243
OBOBLXZT,code,L,70004600,ST,2006-01-07T04:25,2006-01-07T06:45,BES,1464848243
OBOBLXZT,code,L,70004599,ST,2006-01-07T09:30,2006-01-07T11:30,CDG,1464848243
BJHOLWHP,code,L,70004600,ST,2006-01-07T04:25,2006-01-07T06:45,BES,1464848243
BJHOLWHP,code,L,70004599,ST,2006-01-07T09:30,2006-01-07T11:30,CDG,1464848243
RYKBDRAZ,code,L,70004600,ST,2006-01-07T04:25,2006-01-07T06:45,BES,1464848243
RYKBDRAZ,code,L,70004599,ST,2006-01-07T09:30,2006-01-07T11:30,CDG,1464848243
ZHFUKAWO,code,L,70004600,ST,2006-01-07T04:25,2006-01-07T06:45,BES,1464848243
ZHFUKAWO,code,L,70004599,ST,2006-01-07T09:30,2006-01-07T11:30,CDG,1464848243
NHWDMCTO,code,L,70004600,ST,2006-01-07T04:25,2006-01-07T06:45,BES,1464848243
NHWDMCTO,code,L,70004599,ST,2006-01-07T09:30,2006-01-07T11:30,CDG,1464848243
YPKKQTXI,code,L,70004600,ST,2006-01-07T04:25,2006-01-07T06:45,BES,1464848243
YPKKQTXI,code,L,70004599,ST,2006-01-07T09:30,2006-01-07T11:30,CDG,1464848243
HHEXDRFV,code,L,70002583,CP,2006-01-07T04:25,2006-01-07T06:25,RNS,2113437503
HHEXDRFV,code,L,70004543,CP,2006-01-07T10:25,2006-01-07T11:50,CDG,2113437503
HHEXDRFV,code,L,70004546,CP,2006-01-07T12:40,2006-01-07T14:10,MPL,2113437503
HHEXDRFV,code,L,70002586,CP,2006-01-07T19:00,2006-01-07T20:40,CDG,2113437503
ONFPHNVA,code,L,70002583,FO,2006-01-07T04:25,2006-01-07T06:25,RNS,2113437503
ONFPHNVA,code,L,70004543,FO,2006-01-07T10:25,2006-01-07T11:50,CDG,2113437503
ONFPHNVA,code,L,70004546,FO,2006-01-07T12:40,2006-01-07T14:10,MPL,2113437503
ONFPHNVA,code,L,70002586,FO,2006-01-07T19:00,2006-01-07T20:40,CDG,2113437503
CSVATBQF,code,L,70002583,CSD,2006-01-07T04:25,2006-01-07T06:25,RNS,2113437503
CSVATBQF,code,L,70004543,CSD,2006-01-07T10:25,2006-01-07T11:50,CDG,2113437503
CSVATBQF,code,L,70004546,CSD,2006-01-07T12:40,2006-01-07T14:10,MPL,2113437503
CSVATBQF,code,L,70002586,CSD,2006-01-07T19:00,2006-01-07T20:40,CDG,2113437503
LYSRSESM,code,L,70002583,ST,2006-01-07T04:25,2006-01-07T06:25,RNS,2113437503
LYSRSESM,code,L,70004543,ST,2006-01-07T10:25,2006-01-07T11:50,CDG,2113437503
LYSRSESM,code,L,70004546,ST,2006-01-07T12:40,2006-01-07T14:10,MPL,2113437503
LYSRSESM,code,L,70002586,ST,2006-01-07T19:00,2006-01-07T20:40,CDG,2113437503
OPPPOZVY,code,L,70002583,ST,2006-01-07T04:25,2006-01-07T06:25,RNS,2113437503
OPPPOZVY,code,L,70004543,ST,2006-01-07T10:25,2006-01-07T11:50,CDG,2113437503
OPPPOZVY,code,L,70004546,ST,2006-01-07T12:40,2006-01-07T14:10,MPL,2113437503
OPPPOZVY,code,L,70002586,ST,2006-01-07T19:00,2006-01-07T20:40,CDG,2113437503
OCGDWLEY,code,L,70002587,CP,2006-01-07T04:25,2006-01-07T06:35,CFR,41568198
OCGDWLEY,code,L,70002588,CP,2006-01-07T07:40,2006-01-07T09:40,LYS,41568198
HBUXSXMA,code,L,70002587,FO,2006-01-07T04:25,2006-01-07T06:35,CFR,41568198
HBUXSXMA,code,L,70002588,FO,2006-01-07T07:40,2006-01-07T09:40,LYS,41568198
QDDNDPXJ,code,L,70002587,CS,2006-01-07T04:25,2006-01-07T06:35,CFR,41568198
QDDNDPXJ,code,L,70002588,CS,2006-01-07T07:40,2006-01-07T09:40,LYS,41568198
TXVAVKFJ,code,L,70002587,ST,2006-01-07T04:25,2006-01-07T06:35,CFR,41568198
TXVAVKFJ,code,L,70002588,ST,2006-01-07T07:40,2006-01-07T09:40,LYS,41568198
BTFOUFUY,code,L,70002587,ST,2006-01-07T04:25,2006-01-07T06:35,CFR,41568198
BTFOUFUY,code,L,70002588,ST,2006-01-07T07:40,2006-01-07T09:40,LYS,41568198
MGGTKWNS,code,L,70002587,ST,2006-01-07T04:25,2006-01-07T06:35,CFR,41568198
MGGTKWNS,code,L,70002588,ST,2006-01-07T07:40,2006-01-07T09:40,LYS,41568198
QMNOCOSQ,code,L,70002653,CP,2006-01-07T04:25,2006-01-07T06:55,BES,1017541010
QMNOCOSQ,code,L,70002654,CP,2006-01-07T07:40,2006-01-07T09:15,LYS,1017541010
QMNOCOSQ,code,L,70002657,CP,2006-01-07T10:05,2006-01-07T11:45,BES,1017541010
QMNOCOSQ,code,L,70002658,CP,2006-01-07T12:25,2006-01-07T14:50,MRS,1017541010
UPYSIZEJ,code,L,70002653,FO,2006-01-07T04:25,2006-01-07T06:55,BES,1017541010
UPYSIZEJ,code,L,70002654,FO,2006-01-07T07:40,2006-01-07T09:15,LYS,1017541010
UPYSIZEJ,code,L,70002657,FO,2006-01-07T10:05,2006-01-07T11:45,BES,1017541010
UPYSIZEJ,code,L,70002658,FO,2006-01-07T12:25,2006-01-07T14:50,MRS,1017541010
YAGQGMDS,code,L,70002653,CS,2006-01-07T04:25,2006-01-07T06:55,BES,1017541010
YAGQGMDS,code,L,70002654,CS,2006-01-07T07:40,2006-01-07T09:15,LYS,1017541010
YAGQGMDS,code,L,70002657,CS,2006-01-07T10:05,2006-01-07T11:45,BES,1017541010
YAGQGMDS,code,L,70002658,CS,2006-01-07T12:25,2006-01-07T14:50,MRS,1017541010
MYSCOBHK,code,L,70002653,ST,2006-01-07T04:25,2006-01-07T06:55,BES,1017541010
MYSCOBHK,code,L,70002654,ST,2006-01-07T07:40,2006-01-07T09:15,LYS,1017541010
MYSCOBHK,code,L,70002657,ST,2006-01-07T10:05,2006-01-07T11:45,BES,1017541010
MYSCOBHK,code,L,70002658,ST,2006-01-07T12:25,2006-01-07T14:50,MRS,1017541010
USVJUZHG,code,L,70002653,ST,2006-01-07T04:25,2006-01-07T06:55,BES,1017541010
