leg_id,flight_id,date,aircraft,from,to,start,finish,last_leg,fixed,crew_group_id
70004296,4296,2006-01-07,A318#1,CFE,ORY,2006-01-07T05:40,2006-01-07T06:35,,0,534011718
70004295,4295,2006-01-07,A318#1,ORY,CFE,2006-01-07T08:10,2006-01-07T09:05,,0,534011718
70004298,4298,2006-01-07,A318#1,CFE,ORY,2006-01-07T09:50,2006-01-07T10:45,,0,237820880
70004229,4229,2006-01-07,A318#1,ORY,BES,2006-01-07T11:15,2006-01-07T12:25,,0,237820880
70004232,4232,2006-01-07,A318#1,BES,ORY,2006-01-07T13:05,2006-01-07T14:20,,0,237820880
70004301,4301,2006-01-07,A318#1,ORY,CFE,2006-01-07T16:55,2006-01-07T17:50,,0,237820880
70004618,4618,2006-01-07,A318#2,ETZ,ORY,2006-01-07T07:00,2006-01-07T08:10,,0,1002897798
70004617,4617,2006-01-07,A318#2,ORY,ETZ,2006-01-07T08:40,2006-01-07T09:40,,0,1002897798
70004619,4619,2006-01-07,A318#2,ETZ,MRS,2006-01-07T14:30,2006-01-07T16:10,,0,1657007234
70004620,4620,2006-01-07,A318#2,MRS,ETZ,2006-01-07T18:50,2006-01-07T20:30,,0,1657007234
70002624,2624,2006-01-07,A318#3,NTE,MRS,2006-01-07T07:05,2006-01-07T08:25,,0,1412011072
70002623,2623,2006-01-07,A318#3,MRS,NTE,2006-01-07T09:00,2006-01-07T10:25,,0,1412011072
70002630,2630,2006-01-07,A318#3,NTE,MRS,2006-01-07T11:00,2006-01-07T12:20,,0,1412011072
70002629,2629,2006-01-07,A318#3,MRS,NTE,2006-01-07T12:55,2006-01-07T14:20,,0,1412011072
70003064,3064,2006-01-07,A318#4,NCE,ORY,2006-01-07T06:05,2006-01-07T07:30,,0,929393559
70003069,3069,2006-01-07,A318#4,ORY,NCE,2006-01-07T08:00,2006-01-07T09:20,,0,929393559
70003074,3074,2006-01-07,A318#4,NCE,ORY,2006-01-07T10:05,2006-01-07T11:30,,0,760389092
70003077,3077,2006-01-07,A318#4,ORY,NCE,2006-01-07T12:00,2006-01-07T13:20,,0,760389092
70003082,3082,2006-01-07,A318#4,NCE,ORY,2006-01-07T14:05,2006-01-07T15:30,,0,760389092
70003085,3085,2006-01-07,A318#4,ORY,NCE,2006-01-07T16:00,2006-01-07T17:20,,0,760389092
70003092,3092,2006-01-07,A318#4,NCE,ORY,2006-01-07T18:05,2006-01-07T19:30,,0,760389092
70003095,3095,2006-01-07,A318#4,ORY,NCE,2006-01-07T20:00,2006-01-07T21:20,,0,760389092
70003065,3065,2006-01-07,A318#5,ORY,NCE,2006-01-07T07:00,2006-01-07T08:20,,0,2026928803
70003070,3070,2006-01-07,A318#5,NCE,ORY,2006-01-07T09:05,2006-01-07T10:30,,0,2026928803
70003075,3075,2006-01-07,A318#5,ORY,NCE,2006-01-07T11:00,2006-01-07T12:20,,0,217468053
70003080,3080,2006-01-07,A318#5,NCE,ORY,2006-01-07T13:05,2006-01-07T14:30,,0,217468053
70003083,3083,2006-01-07,A318#5,ORY,NCE,2006-01-07T15:00,2006-01-07T16:20,,0,217468053
70003090,3090,2006-01-07,A318#5,NCE,ORY,2006-01-07T17:05,2006-01-07T18:30,,0,217468053
70003118,3118,2006-01-07,A318#6,BOD,ORY,2006-01-07T06:10,2006-01-07T07:20,,0,1379662799
70003119,3119,2006-01-07,A318#6,ORY,BOD,2006-01-07T08:10,2006-01-07T09:15,,0,1379662799
70003124,3124,2006-01-07,A318#6,BOD,ORY,2006-01-07T10:05,2006-01-07T11:15,,0,61497087
70003123,3123,2006-01-07,A318#6,ORY,BOD,2006-01-07T12:10,2006-01-07T13:15,,0,61497087
70003128,3128,2006-01-07,A318#6,BOD,ORY,2006-01-07T14:05,2006-01-07T15:15,,0,61497087
70003131,3131,2006-01-07,A318#6,ORY,BOD,2006-01-07T17:25,2006-01-07T18:30,,0,61497087
70004498,4498,2006-01-07,A318#7,BIQ,CDG,2006-01-07T06:15,2006-01-07T07:45,,0,532638534
70004515,4515,2006-01-07,A318#7,CDG,LYS,2006-01-07T08:35,2006-01-07T09:45,,0,532638534
70004506,4506,2006-01-07,A318#7,LYS,CDG,2006-01-07T12:40,2006-01-07T13:50,,0,532638534
70004519,4519,2006-01-07,A318#7,CDG,CFE,2006-01-07T14:25,2006-01-07T15:25,,0,532638534
70004520,4520,2006-01-07,A318#7,CFE,CDG,2006-01-07T16:05,2006-01-07T17:10,,0,532638534
70004499,4499,2006-01-07,A318#7,CDG,BIQ,2006-01-07T20:25,2006-01-07T21:50,,0,532638534
70003103,3103,2006-01-07,A318#8,ORY,NCE,2006-01-07T06:00,2006-01-07T07:20,,0,687431273
70003068,3068,2006-01-07,A318#8,NCE,ORY,2006-01-07T08:05,2006-01-07T09:30,,0,687431273
70003073,3073,2006-01-07,A318#8,ORY,NCE,2006-01-07T10:00,2006-01-07T11:20,,0,2125508764
70003088,3088,2006-01-07,A318#8,NCE,ORY,2006-01-07T12:05,2006-01-07T13:30,,0,2125508764
70003081,3081,2006-01-07,A318#8,ORY,NCE,2006-01-07T14:00,2006-01-07T15:20,,0,2125508764
70003102,3102,2006-01-07,A318#8,NCE,ORY,2006-01-07T16:05,2006-01-07T17:30,,0,2125508764
70004600,4600,2006-01-07,A319#1,BES,CDG,2006-01-07T05:25,2006-01-07T06:45,,0,1464848243
70004599,4599,2006-01-07,A319#1,CDG,BES,2006-01-07T09:30,2006-01-07T10:45,,0,1464848243
70004602,4602,2006-01-07,A319#1,BES,CDG,2006-01-07T12:15,2006-01-07T13:35,,0,1406361028
70004601,4601,2006-01-07,A319#1,CDG,BES,2006-01-07T14:45,2006-01-07T16:00,,0,1406361028
70004596,4596,2006-01-07,A319#1,BES,CDG,2006-01-07T17:00,2006-01-07T18:20,,0,1406361028
70004595,4595,2006-01-07,A319#1,CDG,BES,2006-01-07T20:00,2006-01-07T21:15,,0,1406361028
70004314,4314,2006-01-07,A319#2,PUF,ORY,2006-01-07T05:40,2006-01-07T07:00,,0,607156385
70004315,4315,2006-01-07,A319#2,ORY,PUF,2006-01-07T08:00,2006-01-07T09:15,,0,607156385
