airport,family,min_turnaround,min_transit
AJA,Airbus,30,30
AJA,BAE,30,20
AJA,CRJ,25,20
AJA,ERJ,25,20
AJA,Fokker,30,20
AJA,TranspCom,10,10
AMS,Airbus,30,30
AMS,BAE,30,20
AMS,CRJ,25,20
AMS,ERJ,25,20
AMS,Fokker,30,20
AMS,TranspCom,10,10
AVN,Airbus,30,30
AVN,BAE,30,20
AVN,CRJ,25,20
AVN,ERJ,25,20
AVN,Fokker,30,20
AVN,TranspCom,10,10
BES,Airbus,30,30
BES,BAE,30,20
BES,CRJ,25,20
BES,ERJ,25,20
BES,Fokker,30,20
BES,TranspCom,10,10
BIA,Airbus,30,30
BIA,BAE,30,20
BIA,CRJ,25,20
BIA,ERJ,25,20
BIA,Fokker,30,20
BIA,TranspCom,10,10
BIQ,Airbus,30,30
BIQ,BAE,30,20
BIQ,CRJ,25,20
BIQ,ERJ,25,20
BIQ,Fokker,30,20
BIQ,TranspCom,10,10
BOD,Airbus,30,30
BOD,BAE,30,20
BOD,CRJ,25,20
BOD,ERJ,25,20
BOD,Fokker,30,20
BOD,TranspCom,10,10
CDG,Airbus,30,30
CDG,BAE,30,20
CDG,CRJ,25,20
CDG,ERJ,25,20
CDG,Fokker,30,20
CDG,TranspCom,10,10
CFE,Airbus,30,30
CFE,BAE,30,20
CFE,CRJ,25,20
CFE,ERJ,25,20
CFE,Fokker,30,20
CFE,TranspCom,10,10
CFR,Airbus,30,30
CFR,BAE,30,20
CFR,CRJ,25,20
CFR,ERJ,25,20
CFR,Fokker,30,20
CFR,TranspCom,10,10
CLY,Airbus,30,30
CLY,BAE,30,20
CLY,CRJ,25,20
CLY,ERJ,25,20
CLY,Fokker,30,20
CLY,TranspCom,10,10
ETZ,Airbus,30,30
ETZ,BAE,30,20
ETZ,CRJ,25,20
ETZ,ERJ,25,20
ETZ,Fokker,30,20
ETZ,TranspCom,10,10
FSC,Airbus,30,30
FSC,BAE,30,20
FSC,CRJ,25,20
FSC,ERJ,25,20
FSC,Fokker,30,20
FSC,TranspCom,10,10
LDE,Airbus,30,30
LDE,BAE,30,20
LDE,CRJ,25,20
LDE,ERJ,25,20
LDE,Fokker,30,20
LDE,TranspCom,10,10
LEH,Airbus,30,30
LEH,BAE,30,20
LEH,CRJ,25,20
LEH,ERJ,25,20
LEH,Fokker,30,20
LEH,TranspCom,10,10
LGW,Airbus,30,30
LGW,BAE,30,20
LGW,CRJ,25,20
LGW,ERJ,25,20
LGW,Fokker,30,20
LGW,TranspCom,10,10
LIG,Airbus,30,30
LIG,BAE,30,20
LIG,CRJ,25,20
LIG,ERJ,25,20
LIG,Fokker,30,20
LIG,TranspCom,10,10
LIL,Airbus,30,30
LIL,BAE,30,20
LIL,CRJ,25,20
LIL,ERJ,25,20
LIL,Fokker,30,20
LIL,TranspCom,10,10
LRT,Airbus,30,30
LRT,BAE,30,20
LRT,CRJ,25,20
LRT,ERJ,25,20
LRT,Fokker,30,20
LRT,TranspCom,10,10
LYS,Airbus,30,30
LYS,BAE,30,20
LYS,CRJ,25,20
LYS,ERJ,25,20
LYS,Fokker,30,20
LYS,TranspCom,10,10
MLH,Airbus,30,30
MLH,BAE,30,20
MLH,CRJ,25,20
MLH,ERJ,25,20
MLH,Fokker,30,20
MLH,TranspCom,10,10
MPL,Airbus,30,30
MPL,BAE,30,20
MPL,CRJ,25,20
MPL,ERJ,25,20
MPL,Fokker,30,20
MPL,TranspCom,10,10
MRS,Airbus,30,30
MRS,BAE,30,20
MRS,CRJ,25,20
MRS,ERJ,25,20
MRS,Fokker,30,20
MRS,TranspCom,10,10
NCE,Airbus,30,30
NCE,BAE,30,20
NCE,CRJ,25,20
NCE,ERJ,25,20
NCE,Fokker,30,20
NCE,TranspCom,10,10
NTE,Airbus,30,30
NTE,BAE,30,20
NTE,CRJ,25,20
NTE,ERJ,25,20
NTE,Fokker,30,20
NTE,TranspCom,10,10
ORY,Airbus,30,30
ORY,BAE,30,20
ORY,CRJ,25,20
ORY,ERJ,25,20
ORY,Fokker,30,20
ORY,TranspCom,10,10
PGF,Airbus,30,30
PGF,BAE,30,20
PGF,CRJ,25,20
PGF,ERJ,25,20
PGF,Fokker,30,20
PGF,TranspCom,10,10
PUF,Airbus,30,30
PUF,BAE,30,20
PUF,CRJ,25,20
PUF,ERJ,25,20
PUF,Fokker,30,20
PUF,TranspCom,10,10
RDZ,Airbus,30,30
RDZ,BAE,30,20
RDZ,CRJ,25,20
RDZ,ERJ,25,20
RDZ,Fokker,30,20
RDZ,TranspCom,10,10
RNS,Airbus,30,30
RNS,BAE,30,20
RNS,CRJ,25,20
RNS,ERJ,25,20
RNS,Fokker,30,20
RNS,TranspCom,10,10
SXB,Airbus,30,30
SXB,BAE,30,20
SXB,CRJ,25,20
SXB,ERJ,25,20
SXB,Fokker,30,20
SXB,TranspCom,10,10
TLN,Airbus,30,30
TLN,BAE,30,20
TLN,CRJ,25,20
TLN,ERJ,25,20
TLN,Fokker,30,20
TLN,TranspCom,10,10
TLS,Airbus,30,30
TLS,BAE,30,20
TLS,CRJ,25,20
TLS,ERJ,25,20
TLS,Fokker,30,20
TLS,TranspCom,10,10
UIP,Airbus,30,30
UIP,BAE,30,20
UIP,CRJ,25,20
UIP,ERJ,25,20
UIP,Fokker,30,20
UIP,TranspCom,10,10
URO,Airbus,30,30
URO,BAE,30,20
URO,CRJ,25,20
URO,ERJ,25,20
URO,Fokker,30,20
URO,TranspCom,10,10
