crew_id,BIA,LDE
SQUZXEUQ,1,1
TMTBPOGJ,1,1
VLVDDKYH,1,1
MLXWMOOB,1,1
CMZKKAKI,1,1
IATOYJBH,1,1
XXWDWPHY,1,1
FZICTRSL,1,1
FFQJPKXB,1,1
MRXERQMV,1,1
QAUQHGAL,1,1
YRFWELWK,1,1
BSSNFFDK,1,1
ZYTSWFAP,1,1
PIVSADWO,1,1
OBOBLXZT,1,1
BJHOLWHP,1,1
RYKBDRAZ,1,1
ZHFUKAWO,1,1
NHWDMCTO,1,1
YPKKQTXI,1,1
HHEXDRFV,1,1
ONFPHNVA,1,1
CSVATBQF,1,1
LYSRSESM,1,1
OPPPOZVY,1,1
OCGDWLEY,1,1
HBUXSXMA,1,1
QDDNDPXJ,1,1
TXVAVKFJ,1,1
BTFOUFUY,1,1
MGGTKWNS,1,1
QMNOCOSQ,1,1
UPYSIZEJ,1,1
YAGQGMDS,1,1
MYSCOBHK,1,1
USVJUZHG,1,1
SQENHXDX,1,1
NVUYHSQS,1,1
OIWPKPTV,1,1
MMCIMIFC,1,1
YJCTXSMT,1,1
WLZOLOEG,1,1
LNWHLQKH,1,1
EUFSYLVW,1,1
TPCZUYMN,1,1
HAHMEPUS,1,1
SMDRCJQO,1,1
QSRNIRKV,1,1
BVUSVSNU,1,1
TNRKPVVV,1,1
SXGSOCBD,1,1
EKJNYUBZ,1,1
TGEBYDJI,1,1
WFWTLCAB,1,1
MVNZCBLH,1,1
ASRMWQLR,1,1
DGSVDCIY,1,1
UQCIGAUF,1,1
MYXOZYXL,1,1
JHKHTBKB,1,1
VYMPUKHG,1,1
NJRDCAGM,1,1
YWWPNKOR,1,1
MRXIPSCA,1,1
HOYPHRBC,1,1
MMZZWYHX,1,1
BNHUPSXH,1,1
TXOVRKII,1,1
NOBPQHLD,1,1
TIYUCIJM,1,1
DMCLLWAR,1,1
IQPUMJOF,1,1
EXPYLKAQ,1,1
NTSNXLUN,1,1
SMRFMWRV,1,1
LUZIWYCP,1,1
ZCFHYMIC,1,1
FIKKEPZW,1,1
BSSFCZAU,1,1
UOOGNBAK,1,1
OQIRRAFT,1,1
MJQRWXQQ,1,1
FKJPLTOF,1,1
ZWZROXHE,1,1
RZLFWLGT,1,1
BFJMXBPU,1,1
WJRUDKCQ,1,1
SWNEWBNM,1,1
JTKRDPVG,1,1
YNGTUJHM,1,1
JTKZZUCU,1,1
INQSDBHM,1,1
PLELPMMH,1,1
PEVZQQHH,1,1
DLGFYASP,1,1
QQCAERMI,1,1
HBWLMKAX,1,1
NLKZOZDY,1,1
SDBMJRQC,1,1
KGBAIHYO,1,1
KOIHXXXQ,1,1
PFWMTUSK,1,1
JLQFOSZD,1,1
VYYXJWXG,1,1
YPPNBXUO,1,1
BOLBAQGL,1,1
OYYTLVAO,1,1
DVDAGYSN,1,1
